product_id,product_name,category,last_count_date,last_count,received,pos_used,book,physical_stock,gap_units,gap_is_material
P017,Belvedere,vodka,2026-06-10,9.66,0,0.69,8.97,8.978,-0.008,False
P032,Don Julio Blanco,tequila,2026-06-10,7.86,0,0.69,7.17,7.178,-0.008,False
P033,Aperol,aperitif,2026-06-10,20.06,0,8.31,11.75,11.743,0.007,False
P015,Finlandia,vodka,2026-06-10,8.81,0,0.77,8.04,8.034,0.006,False
P023,Maker's Mark,whiskey,2026-06-10,8.63,0,0.6,8.03,8.035,-0.005,False
P028,Diplomatico Reserva,rum,2026-06-10,5.63,0,0.26,5.37,5.375,-0.005,False
P053,Lemon Juice,juice,2026-06-10,7.92,0,0.55,7.37,7.375,-0.005,False
P041,Prosecco,wine,2026-06-10,21.3,12.0,12.88,20.42,20.416,0.004,False
P012,Beefeater,gin,2026-06-10,7.95,0,0.69,7.26,7.263,-0.003,False
P034,Campari,aperitif,2026-06-10,4.96,12.0,2.57,14.39,14.387,0.003,False
P037,Martini Rosso,vermouth,2026-06-10,8.97,0,1.97,7.0,7.003,-0.003,False
P018,Stolichnaya,vodka,2026-06-10,8.55,0,0.77,7.78,7.778,0.002,False
P035,Cointreau,liqueur,2026-06-10,10.14,0,2.67,7.47,7.468,0.002,False
P052,Lime Juice,juice,2026-06-10,10.51,0,3.71,6.8,6.798,0.002,False
P054,Sugar Syrup,cocktail_ingredient,2026-06-10,5.43,0,1.62,3.81,3.812,-0.002,False
P022,Chivas Regal,whiskey,2026-06-10,11.72,0,0.86,10.86,10.861,-0.001,False
P055,Fresh Mint,cocktail_ingredient,2026-06-10,2.92,6.0,0.67,8.25,8.251,-0.001,False
P056,Coffee Beans,cocktail_ingredient,2026-06-10,6.1,0,0.46,5.64,5.641,-0.001,False
P001,Carlsberg,beer,2026-06-10,73.4,48.0,45.0,76.4,76.4,0.0,False
P002,Heineken,beer,2026-06-10,59.6,24.0,39.0,44.6,44.6,0.0,False
P003,Corona,beer,2026-06-10,30.2,48.0,34.0,44.2,44.2,0.0,False
P004,Guinness,beer,2026-06-10,38.6,24.0,16.0,46.6,46.6,0.0,False
P005,Goldstar,beer,2026-06-10,71.6,24.0,38.0,57.6,57.6,0.0,False
P006,Maccabee,beer,2026-06-10,52.0,0,21.0,31.0,31.0,0.0,False
P007,Stella Artois,beer,2026-06-10,46.4,24.0,22.0,48.4,48.4,0.0,False
P008,Erdinger,beer,2026-06-10,39.2,0,11.0,28.2,28.2,0.0,False
P011,Hendrick's,gin,2026-06-10,14.87,0,2.57,12.3,12.3,0.0,False
P020,Jack Daniel's,whiskey,2026-06-10,14.62,0,2.23,12.39,12.39,0.0,False
P024,Glenfiddich 12,whiskey,2026-06-10,8.89,0,0.77,8.12,8.12,0.0,False
P030,Olmeca Blanco,tequila,2026-06-10,8.89,0,0.77,8.12,8.12,0.0,False
P040,Rose Wine,wine,2026-06-10,8.2,12.0,4.0,16.2,16.2,0.0,False
P042,Chardonnay,wine,2026-06-10,5.64,12.0,2.6,15.04,15.04,0.0,False
P044,Coca-Cola Zero,soft_drink,2026-06-10,41.0,24.0,35.0,30.0,30.0,0.0,False
P045,Sprite,soft_drink,2026-06-10,46.2,24.0,31.0,39.2,39.2,0.0,False
P046,Tonic Water,soft_drink,2026-06-10,56.42,24.0,36.3,44.12,44.12,0.0,False
P047,Soda Water,soft_drink,2026-06-10,50.56,24.0,31.92,42.64,42.64,0.0,False
P048,Red Bull,soft_drink,2026-06-10,43.8,24.0,30.0,37.8,37.8,0.0,False
P049,Ginger Beer,soft_drink,2026-06-10,32.2,0,13.0,19.2,19.2,0.0,False
P050,Orange Juice,juice,2026-06-10,4.0,0,0.0,4.0,4.0,0.0,False
P051,Cranberry Juice,juice,2026-06-10,4.0,0,0.0,4.0,4.0,0.0,False
