report_id,date,quality_ground_truth,requires_clarification,language,products_reported,product_names,ambiguous_products,true_units_used,true_closing_stock
SR000036,2025-10-06,good,False,en,P002 | P033 | P003 | P038,Heineken | Aperol | Corona | House Red Wine,,P002=4.0 | P033=1.7 | P003=6.0 | P038=1.2,P002=52.6 | P033=6.4 | P003=68.2 | P038=16.5
SR000037,2025-10-07,ambiguous,True,en,P003 | P038 | P041 | P001 | P025,Corona | House Red Wine | Prosecco | Carlsberg | Bacardi Carta Blanca,P025,P003=6.0 | P038=1.5 | P041=1.1 | P001=6.0 | P025=1.5,P003=62.2 | P038=15.0 | P041=28.3 | P001=48.4 | P025=17.3
SR000038,2025-10-08,ambiguous,True,en,P008 | P003 | P005 | P001 | P004,Erdinger | Corona | Goldstar | Carlsberg | Guinness,P004,P008=1.0 | P003=7.0 | P005=6.0 | P001=8.0 | P004=3.0,P008=36.2 | P003=55.2 | P005=58.6 | P001=64.4 | P004=30.6
SR000039,2025-10-09,messy,False,en,P007 | P014 | P020,Stella Artois | Absolut | Jack Daniel's,,P007=8.0 | P014=2.5 | P020=1.0,P007=33.4 | P014=16.0 | P020=9.2
SR000040,2025-10-10,good,False,he,P041 | P039 | P013 | P001,Prosecco | House White Wine | Gordon's | Carlsberg,,P041=4.0 | P039=2.2 | P013=1.9 | P001=14.0,P041=29.1 | P039=25.9 | P013=9.1 | P001=34.4
SR000041,2025-10-11,messy,False,en,P042 | P003 | K003,Chardonnay | Corona | Carlsberg 30L,,P042=0.8 | P003=8.0 | K003=1.0,P042=10.0 | P003=46.2 | K003=3.8
SR000042,2025-10-12,good,False,he,P031 | P025 | P038 | P004,Patron Silver | Bacardi Carta Blanca | House Red Wine | Guinness,,P031=1.1 | P025=1.4 | P038=1.2 | P004=3.0,P031=14.6 | P025=18.6 | P038=17.0 | P004=12.6
SR000043,2025-10-13,good,False,he,P038 | P007 | P004 | P003 | P001,House Red Wine | Stella Artois | Guinness | Corona | Carlsberg,,P038=1.5 | P007=5.0 | P004=2.0 | P003=4.0 | P001=5.0,P038=15.5 | P007=31.4 | P004=10.6 | P003=37.2 | P001=59.4
SR000044,2025-10-14,good,False,en,P002 | P005 | P041 | P008 | P013,Heineken | Goldstar | Prosecco | Erdinger | Gordon's,,P002=10.0 | P005=4.0 | P041=1.3 | P008=1.0 | P013=1.0,P002=38.6 | P005=50.6 | P041=31.5 | P008=16.2 | P013=15.7
SR000045,2025-10-15,messy,False,en,P002 | P039 | P025,Heineken | House White Wine | Bacardi Carta Blanca,,P002=10.0 | P039=2.9 | P025=2.5,P002=52.6 | P039=15.7 | P025=13.7
SR000046,2025-10-16,messy,False,he,P002 | P039 | P040 | K003 | P006,Heineken | House White Wine | Rose Wine | Carlsberg 30L | Maccabee,,P002=9.0 | P039=2.4 | P040=1.2 | K003=0.9 | P006=5.0,P002=43.6 | P039=13.2 | P040=8.0 | K003=4.8 | P006=25.0
SR000047,2025-10-17,ambiguous,True,en,P001 | P003 | P025 | P039 | P006,Carlsberg | Corona | Bacardi Carta Blanca | House White Wine | Maccabee,P025,P001=17.0 | P003=14.0 | P025=2.3 | P039=2.4 | P006=9.0,P001=32.4 | P003=25.2 | P025=21.6 | P039=22.8 | P006=16.0
SR000048,2025-10-18,good,False,he,P039 | P011 | P019,House White Wine | Hendrick's | Jameson,,P039=4.4 | P011=0.9 | P019=0.9,P039=18.4 | P011=15.7 | P019=16.1
SR000049,2025-10-19,ambiguous,True,en,P031 | P002 | P008 | P039,Patron Silver | Heineken | Erdinger | House White Wine,P039,P031=0.8 | P002=5.0 | P008=1.0 | P039=2.7,P031=7.0 | P002=59.6 | P008=24.2 | P039=15.7
SR000050,2025-10-20,messy,False,en,P007 | P033 | P002,Stella Artois | Aperol | Heineken,,P007=5.0 | P033=1.3 | P002=4.0,P007=38.4 | P033=17.0 | P002=55.6
SR000051,2025-10-21,good,False,he,P025 | P001 | P002 | P006,Bacardi Carta Blanca | Carlsberg | Heineken | Maccabee,,P025=1.4 | P001=6.0 | P002=7.0 | P006=4.0,P025=25.8 | P001=44.4 | P002=48.6 | P006=24.0
SR000052,2025-10-22,ambiguous,True,he,P002 | P014 | P013,Heineken | Absolut | Gordon's,P014,P002=5.0 | P014=1.1 | P013=1.6,P002=67.6 | P014=10.7 | P013=15.0
SR000053,2025-10-23,messy,False,he,P014 | P004 | P002 | P031,Absolut | Guinness | Heineken | Patron Silver,,P014=1.3 | P004=4.0 | P002=10.0 | P031=1.0,P014=9.4 | P004=23.6 | P002=57.6 | P031=15.8
SR000054,2025-10-24,ambiguous,True,en,P002 | P041 | P038 | P040,Heineken | Prosecco | House Red Wine | Rose Wine,P038,P002=8.0 | P041=3.4 | P038=2.0 | P040=1.0,P002=49.6 | P041=12.5 | P038=18.6 | P040=11.4
SR000055,2025-10-25,messy,False,en,P041 | P004 | P034 | P005,Prosecco | Guinness | Campari | Goldstar,,P041=4.8 | P004=7.0 | P034=1.0 | P005=9.0,P041=7.7 | P004=35.6 | P034=12.1 | P005=57.6
SR000056,2025-10-26,good,False,en,P001 | P007 | P040,Carlsberg | Stella Artois | Rose Wine,,P001=9.0 | P007=3.0 | P040=0.8,P001=67.4 | P007=30.4 | P040=9.4
SR000057,2025-10-27,good,False,he,P007 | P001 | P008 | P005,Stella Artois | Carlsberg | Erdinger | Goldstar,,P007=3.0 | P001=10.0 | P008=2.0 | P005=6.0,P007=27.4 | P001=57.4 | P008=31.2 | P005=49.6
SR000058,2025-10-28,good,False,he,P006 | P005 | P002 | P001,Maccabee | Goldstar | Heineken | Carlsberg,,P006=1.0 | P005=4.0 | P002=3.0 | P001=8.0,P006=40.0 | P005=45.6 | P002=45.6 | P001=49.4
SR000059,2025-10-29,good,False,en,P008 | P004 | K003 | P039 | P001,Erdinger | Guinness | Carlsberg 30L | House White Wine | Carlsberg,,P008=3.0 | P004=5.0 | K003=0.9 | P039=2.4 | P001=11.0,P008=26.2 | P004=23.6 | K003=5.8 | P039=18.3 | P001=62.4
SR000060,2025-10-30,good,False,en,P004 | P038 | P003 | P007 | P005,Guinness | House Red Wine | Corona | Stella Artois | Goldstar,,P004=6.0 | P038=3.2 | P003=9.0 | P007=7.0 | P005=6.0,P004=17.6 | P038=17.6 | P003=50.2 | P007=33.4 | P005=54.6
SR000061,2025-10-31,good,False,en,P007 | P003 | P025 | P001 | P033,Stella Artois | Corona | Bacardi Carta Blanca | Carlsberg | Aperol,,P007=8.0 | P003=7.0 | P025=2.8 | P001=13.0 | P033=2.2,P007=25.4 | P003=43.2 | P025=17.8 | P001=34.4 | P033=19.9
SR000062,2025-11-01,messy,False,en,P005 | P002 | P001,Goldstar | Heineken | Carlsberg,,P005=9.0 | P002=8.0 | P001=11.0,P005=60.6 | P002=57.6 | P001=71.4
SR000063,2025-11-02,messy,False,he,P004 | P033 | P005,Guinness | Aperol | Goldstar,,P004=3.0 | P033=1.4 | P005=2.0,P004=30.6 | P033=16.5 | P005=58.6
SR000064,2025-11-03,good,False,en,P013 | P025 | P006 | P002,Gordon's | Bacardi Carta Blanca | Maccabee | Heineken,,P013=0.9 | P025=1.3 | P006=5.0 | P002=3.0,P013=10.0 | P025=12.5 | P006=36.0 | P002=47.6
SR000065,2025-11-04,ambiguous,True,en,P004 | P003 | P005,Guinness | Corona | Goldstar,P003,P004=2.0 | P003=3.0 | P005=5.0,P004=27.6 | P003=53.2 | P005=51.6
SR000066,2025-11-05,messy,False,he,P006 | P038 | P003 | P002 | P014,Maccabee | House Red Wine | Corona | Heineken | Absolut,,P006=5.0 | P038=2.0 | P003=5.0 | P002=7.0 | P014=1.1,P006=52.0 | P038=20.8 | P003=48.2 | P002=37.6 | P014=18.2
SR000067,2025-11-06,good,False,en,P041 | P003 | P005,Prosecco | Corona | Goldstar,,P041=2.9 | P003=8.0 | P005=10.0,P041=23.4 | P003=40.2 | P005=58.6
SR000068,2025-11-07,good,False,he,P039 | P019 | P002 | P005 | P025,House White Wine | Jameson | Heineken | Goldstar | Bacardi Carta Blanca,,P039=2.9 | P019=0.9 | P002=14.0 | P005=13.0 | P025=3.1,P039=23.5 | P019=16.6 | P002=40.6 | P005=45.6 | P025=17.7
SR000069,2025-11-08,messy,False,en,P008 | P020 | P007 | P003,Erdinger | Jack Daniel's | Stella Artois | Corona,,P008=4.0 | P020=0.9 | P007=10.0 | P003=10.0,P008=24.2 | P020=5.1 | P007=30.4 | P003=44.2
SR000070,2025-11-09,messy,False,he,P004 | P006 | P038 | P041,Guinness | Maccabee | House Red Wine | Prosecco,,P004=3.0 | P006=4.0 | P038=1.5 | P041=2.8,P004=55.6 | P006=30.0 | P038=12.1 | P041=23.0
SR000071,2025-11-10,messy,False,he,P002 | P039 | P001 | P003,Heineken | House White Wine | Carlsberg | Corona,,P002=5.0 | P039=1.2 | P001=7.0 | P003=6.0,P002=40.6 | P039=16.6 | P001=37.4 | P003=31.2
SR000072,2025-11-11,messy,False,en,P033 | P004 | P005 | P001,Aperol | Guinness | Goldstar | Carlsberg,,P033=1.1 | P004=2.0 | P005=2.0 | P001=6.0,P033=24.7 | P004=52.6 | P005=37.6 | P001=31.4
SR000073,2025-11-12,messy,False,he,P003 | P002 | P014 | P040 | P001,Corona | Heineken | Absolut | Rose Wine | Carlsberg,,P003=6.0 | P002=9.0 | P014=1.2 | P040=0.8 | P001=10.0,P003=69.2 | P002=49.6 | P014=9.4 | P040=21.2 | P001=69.4
SR000074,2025-11-13,good,False,en,P014 | P025 | P001 | P003 | P038,Absolut | Bacardi Carta Blanca | Carlsberg | Corona | House Red Wine,,P014=1.2 | P025=2.3 | P001=12.0 | P003=10.0 | P038=2.2,P014=8.2 | P025=17.5 | P001=57.4 | P003=59.2 | P038=18.2
SR000075,2025-11-14,good,False,he,P035 | P041 | P006 | P039 | P001,Cointreau | Prosecco | Maccabee | House White Wine | Carlsberg,,P035=0.9 | P041=6.0 | P006=9.0 | P039=4.1 | P001=19.0,P035=14.6 | P041=20.2 | P006=30.0 | P039=19.4 | P001=38.4
SR000076,2025-11-15,messy,False,he,P031 | P001 | P008 | P003 | P033,Patron Silver | Carlsberg | Erdinger | Corona | Aperol,,P031=1.4 | P001=13.0 | P008=4.0 | P003=10.0 | P033=2.6,P031=14.2 | P001=73.4 | P008=28.2 | P003=60.2 | P033=15.2
SR000077,2025-11-16,ambiguous,True,he,P005 | P006 | P008 | P001,Goldstar | Maccabee | Erdinger | Carlsberg,P001,P005=8.0 | P006=3.0 | P008=2.0 | P001=6.0,P005=61.6 | P006=46.0 | P008=26.2 | P001=67.4
SR000078,2025-11-17,messy,False,he,P033 | P014 | P013 | P006,Aperol | Absolut | Gordon's | Maccabee,,P033=1.9 | P014=0.9 | P013=1.0 | P006=2.0,P033=11.4 | P014=14.6 | P013=14.3 | P006=44.0
SR000079,2025-11-18,good,False,en,P033 | P005 | P041 | P004 | P008,Aperol | Goldstar | Prosecco | Guinness | Erdinger,,P033=1.1 | P005=7.0 | P041=1.8 | P004=2.0 | P008=1.0,P033=22.3 | P005=47.6 | P041=32.4 | P004=25.6 | P008=23.2
SR000080,2025-11-19,good,False,en,P004 | P033 | P001 | P005,Guinness | Aperol | Carlsberg | Goldstar,,P004=2.0 | P033=1.0 | P001=6.0 | P005=5.0,P004=47.6 | P033=21.3 | P001=75.4 | P005=66.6
SR000081,2025-11-20,messy,False,he,P025 | P002 | P008 | P031,Bacardi Carta Blanca | Heineken | Erdinger | Patron Silver,,P025=2.0 | P002=8.0 | P008=4.0 | P031=1.4,P025=17.1 | P002=60.6 | P008=18.2 | P031=10.0
SR000082,2025-11-21,good,False,en,P033 | P002 | P008 | P005,Aperol | Heineken | Erdinger | Goldstar,,P033=2.1 | P002=11.0 | P008=3.0 | P005=9.0,P033=16.5 | P002=49.6 | P008=15.2 | P005=47.6
SR000083,2025-11-22,messy,False,en,P007 | P040 | P005,Stella Artois | Rose Wine | Goldstar,,P007=6.0 | P040=1.4 | P005=7.0,P007=51.4 | P040=11.6 | P005=64.6
SR000084,2025-11-23,messy,False,en,P004 | P040 | P033 | P014,Guinness | Rose Wine | Aperol | Absolut,,P004=3.0 | P040=1.2 | P033=0.9 | P014=1.1,P004=29.6 | P040=10.4 | P033=13.0 | P014=7.6
SR000085,2025-11-24,good,False,he,P013 | P007 | P025 | P002 | P008,Gordon's | Stella Artois | Bacardi Carta Blanca | Heineken | Erdinger,,P013=1.0 | P007=3.0 | P025=1.6 | P002=5.0 | P008=2.0,P013=17.8 | P007=45.4 | P025=8.9 | P002=53.6 | P008=31.2
SR000086,2025-11-25,messy,False,he,P001 | P002 | P041 | P003,Carlsberg | Heineken | Prosecco | Corona,,P001=8.0 | P002=6.0 | P041=1.1 | P003=5.0,P001=45.4 | P002=47.6 | P041=27.1 | P003=37.2
SR000087,2025-11-26,good,False,en,P025 | P013 | P002 | P007 | P014,Bacardi Carta Blanca | Gordon's | Heineken | Stella Artois | Absolut,,P025=1.6 | P013=1.4 | P002=6.0 | P007=4.0 | P014=1.4,P025=18.5 | P013=15.4 | P002=65.6 | P007=38.4 | P014=16.7
SR000088,2025-11-27,good,False,he,P006 | P039 | P041 | P002,Maccabee | House White Wine | Prosecco | Heineken,,P006=6.0 | P039=2.4 | P041=3.8 | P002=9.0,P006=24.0 | P039=20.2 | P041=20.1 | P002=56.6
SR000089,2025-11-28,good,False,en,P007 | P041 | P003,Stella Artois | Prosecco | Corona,,P007=4.0 | P041=3.1 | P003=7.0,P007=27.4 | P041=29.0 | P003=41.2
SR000090,2025-11-29,messy,False,en,P033 | P001 | P039,Aperol | Carlsberg | House White Wine,,P033=1.9 | P001=10.0 | P039=2.9,P033=15.1 | P001=78.4 | P039=14.6
SR000091,2025-11-30,good,False,en,P001 | P038 | P025,Carlsberg | House Red Wine | Bacardi Carta Blanca,,P001=9.0 | P038=1.0 | P025=2.0,P001=69.4 | P038=14.9 | P025=9.9
SR000092,2025-12-01,good,False,he,P008 | P005 | P006 | P025,Erdinger | Goldstar | Maccabee | Bacardi Carta Blanca,,P008=2.0 | P005=4.0 | P006=2.0 | P025=1.2,P008=15.2 | P005=84.6 | P006=33.0 | P025=8.7
SR000093,2025-12-02,ambiguous,True,en,P001 | P005 | P008 | P038 | P002,Carlsberg | Goldstar | Erdinger | House Red Wine | Heineken,P002,P001=6.0 | P005=6.0 | P008=1.0 | P038=2.2 | P002=7.0,P001=57.4 | P005=78.6 | P008=14.2 | P038=24.7 | P002=47.6
SR000094,2025-12-03,good,False,en,P041 | P004 | P006 | P005,Prosecco | Guinness | Maccabee | Goldstar,,P041=1.8 | P004=2.0 | P006=4.0 | P005=7.0,P041=32.1 | P004=29.6 | P006=27.0 | P005=71.6
SR000095,2025-12-04,ambiguous,True,he,P031 | P005 | P014 | P007,Patron Silver | Goldstar | Absolut | Stella Artois,P031,P031=1.2 | P005=8.0 | P014=1.2 | P007=7.0,P031=8.3 | P005=63.6 | P014=8.4 | P007=45.4
SR000096,2025-12-05,messy,False,he,P007 | P039 | K003 | P004,Stella Artois | House White Wine | Carlsberg 30L | Guinness,,P007=9.0 | P039=3.4 | K003=1.0 | P004=5.0,P007=36.4 | P039=15.6 | K003=4.2 | P004=19.6
SR000097,2025-12-06,messy,False,he,P003 | P007 | K003 | P039,Corona | Stella Artois | Carlsberg 30L | House White Wine,,P003=8.0 | P007=8.0 | K003=1.0 | P039=3.2,P003=62.2 | P007=52.4 | K003=6.2 | P039=12.4
SR000098,2025-12-07,messy,False,he,P002 | P013 | P038 | P003,Heineken | Gordon's | House Red Wine | Corona,,P002=7.0 | P013=1.4 | P038=1.2 | P003=7.0,P002=51.6 | P013=12.3 | P038=13.7 | P003=55.2
SR000099,2025-12-08,good,False,he,P002 | P039 | P007 | P001,Heineken | House White Wine | Stella Artois | Carlsberg,,P002=3.0 | P039=1.2 | P007=2.0 | P001=5.0,P002=48.6 | P039=10.0 | P007=47.4 | P001=58.4
SR000100,2025-12-09,messy,False,en,P005 | P006 | P002,Goldstar | Maccabee | Heineken,,P005=4.0 | P006=3.0 | P002=8.0,P005=49.6 | P006=31.0 | P002=40.6
SR000101,2025-12-10,messy,False,en,P001 | P002 | P039 | P013,Carlsberg | Heineken | House White Wine | Gordon's,,P001=13.0 | P002=5.0 | P039=1.7 | P013=1.2,P001=65.4 | P002=59.6 | P039=20.0 | P013=9.9
SR000102,2025-12-11,messy,False,he,P025 | P014 | P007 | P002 | P003,Bacardi Carta Blanca | Absolut | Stella Artois | Heineken | Corona,,P025=1.9 | P014=1.3 | P007=4.0 | P002=8.0 | P003=8.0,P025=17.6 | P014=12.0 | P007=37.4 | P002=51.6 | P003=58.2
SR000103,2025-12-12,good,False,he,P025 | P038 | P004,Bacardi Carta Blanca | House Red Wine | Guinness,,P025=2.2 | P038=2.7 | P004=4.0,P025=15.3 | P038=17.9 | P004=24.6
SR000104,2025-12-13,good,False,he,P002 | P031 | P025 | P001,Heineken | Patron Silver | Bacardi Carta Blanca | Carlsberg,,P002=8.0 | P031=1.2 | P025=2.5 | P001=9.0,P002=61.6 | P031=11.2 | P025=12.8 | P001=63.4
SR000105,2025-12-14,good,False,en,P005 | P007 | P014 | P001,Goldstar | Stella Artois | Absolut | Carlsberg,,P005=3.0 | P007=4.0 | P014=0.9 | P001=9.0,P005=62.6 | P007=22.4 | P014=8.4 | P001=54.4
SR000106,2025-12-15,messy,False,en,P006 | P008 | P001 | P007,Maccabee | Erdinger | Carlsberg | Stella Artois,,P006=1.0 | P008=2.0 | P001=7.0 | P007=3.0,P006=32.0 | P008=32.2 | P001=47.4 | P007=43.4
SR000107,2025-12-16,messy,False,en,P003 | P025 | P004 | P007 | P002,Corona | Bacardi Carta Blanca | Guinness | Stella Artois | Heineken,,P003=4.0 | P025=1.1 | P004=1.0 | P007=2.0 | P002=4.0,P003=59.2 | P025=21.8 | P004=43.6 | P007=41.4 | P002=44.6
SR000108,2025-12-17,good,False,en,P006 | P003 | P033 | P002,Maccabee | Corona | Aperol | Heineken,,P006=3.0 | P003=6.0 | P033=1.4 | P002=7.0,P006=51.0 | P003=53.2 | P033=15.7 | P002=61.6
SR000109,2025-12-18,good,False,en,P040 | P007 | P001 | P006 | P039,Rose Wine | Stella Artois | Carlsberg | Maccabee | House White Wine,,P040=1.2 | P007=6.0 | P001=8.0 | P006=5.0 | P039=2.0,P040=16.2 | P007=33.4 | P001=53.4 | P006=46.0 | P039=18.6
SR000110,2025-12-19,messy,False,en,P007 | P001 | P031 | P008 | P006,Stella Artois | Carlsberg | Patron Silver | Erdinger | Maccabee,,P007=6.0 | P001=18.0 | P031=1.8 | P008=3.0 | P006=6.0,P007=27.4 | P001=35.4 | P031=17.5 | P008=23.2 | P006=40.0
SR000111,2025-12-20,good,False,he,P001 | P002 | P025,Carlsberg | Heineken | Bacardi Carta Blanca,,P001=10.0 | P002=8.0 | P025=2.1,P001=73.4 | P002=57.6 | P025=14.1
