date,order_id,product_id,units_received
2025-09-15,O000072,P048,48
2025-09-15,O000074,P056,6
2025-09-16,O000059,P006,24
2025-09-16,O000076,P038,12
2025-09-16,O000077,P039,12
2025-09-16,O000078,P041,12
2025-09-17,O000073,P052,6
2025-09-17,O000075,P025,12
2025-09-17,O000080,P002,48
2025-09-17,O000081,P003,48
2025-09-17,O000082,P004,24
2025-09-17,O000083,P005,48
2025-09-17,O000084,P006,24
2025-09-17,O000086,K001,2
2025-09-17,O000087,K002,2
2025-09-17,O000088,K003,2
2025-09-17,O000089,K004,2
2025-09-17,O000090,K005,2
2025-09-18,O000079,P001,48
2025-09-18,O000085,P007,24
2025-09-18,O000091,P043,48
2025-09-18,O000092,P045,24
2025-09-18,O000093,P047,24
2025-09-18,O000094,P049,24
2025-09-19,O000095,P013,12
2025-09-19,O000096,P014,12
2025-09-19,O000097,P028,12
2025-09-19,O000098,P031,12
2025-09-19,O000099,P033,12
2025-09-19,O000100,P039,12
2025-09-19,O000101,P041,12
2025-09-20,O000102,P001,24
2025-09-20,O000103,P002,24
2025-09-20,O000104,P003,24
2025-09-20,O000105,P005,24
2025-09-20,O000106,P006,24
2025-09-20,O000108,P008,24
2025-09-20,O000109,K001,1
2025-09-20,O000110,K002,1
2025-09-20,O000111,K003,3
2025-09-20,O000112,K004,3
2025-09-20,O000113,K005,1
2025-09-22,O000114,P043,72
2025-09-22,O000115,P044,48
2025-09-22,O000116,P045,48
2025-09-22,O000117,P046,48
2025-09-22,O000118,P047,48
2025-09-22,O000119,P048,48
2025-09-22,O000121,P054,6
2025-09-23,O000107,P007,24
2025-09-23,O000122,P025,12
2025-09-23,O000123,P033,12
2025-09-23,O000124,P038,12
2025-09-23,O000125,P040,12
2025-09-23,O000126,P041,12
2025-09-24,O000127,P001,48
2025-09-24,O000128,P002,48
2025-09-24,O000129,P003,24
2025-09-24,O000130,P004,24
2025-09-24,O000131,P005,48
2025-09-24,O000132,P007,24
2025-09-24,O000133,K001,2
2025-09-24,O000134,K002,1
2025-09-24,O000135,K003,3
2025-09-24,O000136,K004,2
2025-09-25,O000120,P052,6
2025-09-25,O000137,K005,2
2025-09-25,O000138,P043,48
2025-09-25,O000139,P044,48
2025-09-25,O000140,P046,24
2025-09-25,O000141,P047,24
2025-09-25,O000142,P048,24
2025-09-25,O000143,P049,24
2025-09-25,O000144,P052,6
2025-09-26,O000145,P011,12
2025-09-26,O000146,P013,12
2025-09-26,O000148,P020,12
2025-09-26,O000149,P025,12
2025-09-26,O000150,P034,12
2025-09-26,O000151,P038,12
2025-09-26,O000152,P039,12
2025-09-26,O000153,P041,12
2025-09-27,O000154,P001,48
2025-09-27,O000155,P002,48
2025-09-27,O000157,P004,24
2025-09-27,O000159,P006,24
2025-09-27,O000160,P007,24
2025-09-27,O000162,K001,2
2025-09-27,O000163,K002,2
2025-09-27,O000164,K003,3
2025-09-27,O000165,K004,2
2025-09-27,O000166,K005,2
2025-09-28,O000147,P019,12
2025-09-28,O000161,P008,24
2025-09-29,O000156,P003,48
2025-09-29,O000158,P005,24
2025-09-29,O000167,P043,72
2025-09-29,O000168,P044,48
2025-09-29,O000169,P045,48
2025-09-29,O000170,P046,48
2025-09-29,O000171,P047,48
2025-09-29,O000172,P048,24
2025-09-30,O000173,P014,12
2025-09-30,O000174,P031,12
2025-09-30,O000175,P033,12
2025-09-30,O000176,P035,12
2025-09-30,O000177,P039,12
2025-09-30,O000178,P041,24
2025-09-30,O000179,P042,12
2025-10-01,O000180,P001,48
2025-10-01,O000181,P002,24
2025-10-01,O000182,P003,24
2025-10-01,O000183,P005,24
2025-10-01,O000184,P006,24
2025-10-01,O000185,P007,24
2025-10-01,O000186,K001,2
2025-10-01,O000187,K002,1
2025-10-01,O000188,K003,2
2025-10-01,O000189,K004,2
2025-10-01,O000190,K005,2
2025-10-02,O000191,P043,24
2025-10-02,O000192,P045,24
2025-10-02,O000193,P046,24
2025-10-02,O000194,P047,24
2025-10-02,O000195,P048,24
2025-10-03,O000196,P013,12
2025-10-03,O000197,P025,12
2025-10-03,O000198,P029,12
2025-10-03,O000199,P033,12
2025-10-03,O000200,P036,12
2025-10-03,O000201,P038,12
2025-10-03,O000202,P039,12
2025-10-03,O000203,P040,12
2025-10-03,O000204,P041,12
2025-10-04,O000205,P001,48
2025-10-04,O000206,P002,48
2025-10-04,O000207,P003,24
2025-10-04,O000208,P004,24
2025-10-04,O000209,P005,48
2025-10-04,O000210,P006,24
2025-10-04,O000211,P007,24
2025-10-04,O000212,P008,24
2025-10-04,O000213,K001,2
2025-10-04,O000214,K002,2
2025-10-04,O000215,K003,4
2025-10-04,O000216,K004,3
2025-10-04,O000217,K005,2
2025-10-06,O000218,P043,96
2025-10-06,O000219,P044,72
2025-10-06,O000220,P045,48
2025-10-06,O000221,P046,72
2025-10-06,O000222,P047,48
2025-10-06,O000223,P048,48
2025-10-06,O000224,P049,24
2025-10-06,O000225,P052,6
2025-10-06,O000226,P054,6
2025-10-07,O000227,P013,12
2025-10-07,O000228,P014,12
2025-10-07,O000229,P016,12
2025-10-07,O000230,P021,12
2025-10-07,O000231,P025,12
2025-10-07,O000232,P031,12
2025-10-07,O000233,P033,12
2025-10-07,O000234,P037,12
2025-10-07,O000235,P038,12
2025-10-07,O000236,P039,12
2025-10-07,O000237,P041,12
2025-10-08,O000238,P001,24
2025-10-08,O000239,P002,24
2025-10-08,O000240,P003,48
2025-10-08,O000241,P004,24
2025-10-08,O000242,P005,24
2025-10-08,O000244,P007,24
2025-10-08,O000245,K001,2
2025-10-08,O000247,K003,3
2025-10-08,O000248,K004,2
2025-10-08,O000249,K005,2
2025-10-09,O000250,P043,24
2025-10-09,O000251,P044,24
2025-10-09,O000252,P045,24
2025-10-09,O000253,P046,24
2025-10-09,O000254,P049,24
2025-10-10,O000246,K002,2
2025-10-10,O000257,P025,12
2025-10-10,O000258,P038,12
2025-10-10,O000259,P039,12
2025-10-10,O000260,P041,12
2025-10-11,O000243,P006,24
2025-10-11,O000261,P001,72
2025-10-11,O000262,P002,48
2025-10-11,O000263,P003,24
2025-10-11,O000265,P005,48
2025-10-11,O000266,P006,48
2025-10-11,O000267,P007,24
2025-10-11,O000268,P008,24
2025-10-11,O000269,K001,3
2025-10-11,O000271,K003,3
2025-10-11,O000272,K004,2
2025-10-11,O000273,K005,1
2025-10-12,O000255,P009,12
2025-10-12,O000256,P019,12
2025-10-13,O000270,K002,1
2025-10-13,O000275,P044,48
2025-10-13,O000276,P045,24
2025-10-13,O000277,P046,48
2025-10-13,O000278,P047,72
2025-10-13,O000279,P048,48
2025-10-13,O000280,P052,6
2025-10-13,O000281,P055,6
2025-10-14,O000264,P004,24
2025-10-14,O000274,P043,96
2025-10-14,O000282,P011,12
2025-10-14,O000283,P013,12
2025-10-14,O000284,P014,12
2025-10-14,O000285,P020,12
2025-10-14,O000286,P031,12
2025-10-14,O000287,P033,12
2025-10-14,O000288,P034,12
2025-10-14,O000289,P035,12
2025-10-14,O000290,P038,12
2025-10-14,O000291,P040,12
2025-10-14,O000292,P041,12
2025-10-14,O000293,P042,12
2025-10-15,O000294,P001,48
2025-10-15,O000295,P002,48
2025-10-15,O000297,P005,48
2025-10-15,O000298,P007,24
2025-10-15,O000299,K001,2
2025-10-15,O000300,K002,2
2025-10-15,O000301,K003,3
2025-10-15,O000302,K004,2
2025-10-15,O000303,K005,2
2025-10-16,O000296,P003,48
2025-10-16,O000304,P043,24
2025-10-16,O000305,P044,24
2025-10-16,O000306,P045,24
2025-10-16,O000308,P048,24
2025-10-16,O000309,P049,24
2025-10-16,O000310,P052,6
2025-10-16,O000311,P053,6
2025-10-17,O000312,P022,12
2025-10-17,O000313,P025,12
2025-10-17,O000314,P026,12
2025-10-17,O000315,P033,12
2025-10-17,O000316,P039,12
2025-10-17,O000317,P041,12
2025-10-18,O000307,P046,24
2025-10-18,O000318,P001,24
2025-10-18,O000319,P002,24
2025-10-18,O000320,P003,24
2025-10-18,O000321,P004,24
2025-10-18,O000322,P005,24
2025-10-18,O000323,P007,24
2025-10-18,O000324,P008,24
2025-10-18,O000325,K001,2
2025-10-18,O000326,K002,2
2025-10-18,O000327,K003,4
2025-10-18,O000328,K004,3
2025-10-18,O000329,K005,1
2025-10-20,O000330,P043,72
2025-10-20,O000331,P044,48
2025-10-20,O000332,P045,48
2025-10-20,O000335,P048,24
2025-10-20,O000336,P052,6
2025-10-20,O000337,P054,6
2025-10-21,O000338,P010,12
2025-10-21,O000339,P013,12
2025-10-21,O000340,P014,12
2025-10-21,O000341,P025,12
2025-10-21,O000342,P027,12
2025-10-21,O000343,P031,12
2025-10-21,O000344,P033,12
2025-10-21,O000345,P036,12
2025-10-21,O000346,P038,12
2025-10-21,O000347,P039,12
2025-10-21,O000348,P040,12
2025-10-21,O000349,P041,12
2025-10-22,O000334,P047,48
2025-10-22,O000350,P001,48
2025-10-22,O000351,P002,24
2025-10-22,O000352,P003,24
2025-10-22,O000353,P005,24
2025-10-22,O000354,P006,24
2025-10-22,O000355,P007,24
2025-10-22,O000356,K001,1
2025-10-22,O000358,K003,2
2025-10-22,O000359,K004,1
2025-10-22,O000360,K005,2
2025-10-23,O000333,P046,48
2025-10-23,O000357,K002,1
2025-10-23,O000361,P043,24
2025-10-23,O000362,P044,24
2025-10-23,O000363,P045,24
2025-10-23,O000364,P046,72
2025-10-23,O000365,P047,24
2025-10-23,O000366,P048,24
2025-10-23,O000367,P049,24
2025-10-24,O000368,P029,12
2025-10-24,O000369,P038,12
2025-10-24,O000370,P041,12
2025-10-25,O000371,P001,48
2025-10-25,O000372,P002,48
2025-10-25,O000373,P003,24
2025-10-25,O000375,P005,48
2025-10-25,O000377,P007,24
2025-10-25,O000378,P008,24
2025-10-25,O000379,K001,2
2025-10-25,O000380,K002,2
2025-10-25,O000381,K003,2
2025-10-25,O000382,K004,2
2025-10-26,O000376,P006,24
2025-10-27,O000374,P004,24
2025-10-27,O000384,P043,96
2025-10-27,O000385,P044,48
2025-10-27,O000386,P045,48
2025-10-27,O000387,P047,48
2025-10-27,O000388,P048,48
2025-10-27,O000389,P052,6
2025-10-28,O000383,K005,1
2025-10-28,O000390,P013,12
2025-10-28,O000391,P014,12
2025-10-28,O000392,P019,12
2025-10-28,O000393,P025,12
2025-10-28,O000395,P037,12
2025-10-28,O000396,P039,12
2025-10-28,O000397,P041,24
2025-10-29,O000398,P001,48
2025-10-29,O000399,P002,24
2025-10-29,O000400,P003,48
2025-10-29,O000401,P004,24
2025-10-29,O000402,P005,24
2025-10-29,O000403,P006,24
2025-10-29,O000404,P007,24
2025-10-29,O000405,K001,2
2025-10-29,O000406,K002,1
2025-10-29,O000407,K003,4
2025-10-29,O000408,K004,2
2025-10-29,O000409,K005,2
2025-10-30,O000410,P043,24
2025-10-30,O000411,P044,24
2025-10-30,O000412,P047,24
2025-10-30,O000413,P049,24
2025-10-31,O000394,P033,12
2025-10-31,O000414,P011,12
2025-10-31,O000415,P020,12
2025-10-31,O000416,P025,12
2025-10-31,O000417,P031,12
2025-10-31,O000418,P033,12
2025-10-31,O000419,P034,12
2025-10-31,O000420,P035,12
2025-10-31,O000421,P038,12
2025-10-31,O000422,P039,12
2025-10-31,O000423,P041,12
2025-11-01,O000424,P001,24
2025-11-01,O000425,P002,48
2025-11-01,O000426,P003,24
2025-11-01,O000427,P005,24
2025-11-01,O000428,P007,24
2025-11-01,O000429,P008,24
2025-11-01,O000430,K001,2
2025-11-01,O000431,K002,2
2025-11-01,O000432,K003,2
2025-11-01,O000433,K004,3
2025-11-01,O000434,K005,2
2025-11-03,O000435,P043,72
2025-11-03,O000436,P044,48
2025-11-03,O000437,P045,48
2025-11-03,O000438,P046,48
2025-11-03,O000439,P047,24
2025-11-03,O000440,P048,48
2025-11-03,O000441,P052,6
2025-11-03,O000442,P054,6
2025-11-03,O000443,P056,6
2025-11-04,O000444,P013,12
2025-11-04,O000445,P014,12
2025-11-04,O000446,P038,12
2025-11-04,O000447,P039,12
2025-11-04,O000448,P040,12
2025-11-04,O000449,P041,12
2025-11-04,O000450,P042,12
2025-11-05,O000451,P001,48
2025-11-05,O000452,P002,24
2025-11-05,O000453,P003,24
2025-11-05,O000454,P004,24
2025-11-05,O000455,P005,48
2025-11-05,O000456,P006,24
2025-11-05,O000457,P007,24
2025-11-05,O000458,K001,2
2025-11-05,O000459,K002,1
2025-11-05,O000460,K003,3
2025-11-05,O000461,K004,2
2025-11-06,O000463,P043,24
2025-11-06,O000464,P044,24
2025-11-06,O000465,P045,24
2025-11-06,O000466,P046,24
2025-11-06,O000467,P047,24
2025-11-06,O000468,P049,24
2025-11-07,O000462,K005,1
2025-11-07,O000469,P025,12
2025-11-08,O000470,P033,12
2025-11-08,O000472,P001,24
2025-11-08,O000473,P002,24
2025-11-08,O000474,P003,24
2025-11-08,O000475,P005,24
2025-11-08,O000476,P006,24
2025-11-08,O000477,K001,1
2025-11-08,O000478,K002,1
2025-11-08,O000479,K003,2
2025-11-08,O000481,K005,1
2025-11-10,O000471,P039,12
2025-11-10,O000480,K004,1
2025-11-10,O000482,P043,48
2025-11-10,O000483,P044,24
2025-11-10,O000484,P045,24
2025-11-10,O000485,P046,24
2025-11-10,O000486,P047,24
2025-11-10,O000487,P048,48
2025-11-10,O000488,P052,6
2025-11-11,O000491,P015,12
2025-11-11,O000492,P016,12
2025-11-11,O000493,P018,12
2025-11-11,O000494,P021,12
2025-11-11,O000495,P024,12
2025-11-11,O000496,P031,12
2025-11-11,O000497,P032,12
2025-11-11,O000498,P038,12
2025-11-11,O000499,P041,12
2025-11-12,O000500,P001,24
2025-11-12,O000501,P002,24
2025-11-12,O000502,P003,24
2025-11-12,O000503,P004,24
2025-11-12,O000504,P005,24
2025-11-12,O000505,P007,24
2025-11-12,O000506,P008,24
2025-11-12,O000507,K001,2
2025-11-12,O000508,K002,1
2025-11-12,O000509,K003,2
2025-11-12,O000510,K004,2
2025-11-12,O000511,K005,2
2025-11-13,O000512,P043,24
2025-11-13,O000513,P046,24
2025-11-13,O000514,P047,24
2025-11-14,O000489,P009,12
2025-11-14,O000490,P012,12
2025-11-14,O000515,P009,12
2025-11-14,O000516,P012,12
2025-11-14,O000517,P013,12
2025-11-14,O000518,P014,12
2025-11-14,O000519,P019,12
2025-11-14,O000520,P025,12
2025-11-14,O000521,P030,12
2025-11-14,O000522,P039,12
2025-11-14,O000523,P041,12
2025-11-15,O000524,P001,24
2025-11-15,O000525,P002,24
2025-11-15,O000527,P005,24
2025-11-15,O000528,P006,24
2025-11-15,O000529,K001,1
2025-11-15,O000530,K002,1
2025-11-15,O000531,K003,2
2025-11-15,O000532,K004,1
2025-11-15,O000533,K005,1
2025-11-17,O000534,P043,48
2025-11-17,O000535,P044,48
2025-11-17,O000536,P045,48
2025-11-17,O000537,P046,24
2025-11-17,O000538,P047,24
2025-11-17,O000539,P048,24
2025-11-17,O000540,P049,24
2025-11-17,O000541,P055,6
2025-11-18,O000526,P003,24
2025-11-18,O000542,P023,12
2025-11-18,O000543,P033,12
2025-11-18,O000544,P036,12
2025-11-18,O000545,P038,12
2025-11-18,O000546,P040,12
2025-11-18,O000547,P041,12
2025-11-19,O000548,P001,24
2025-11-19,O000549,P002,24
2025-11-19,O000550,P003,24
2025-11-19,O000552,P007,24
2025-11-19,O000553,P008,24
2025-11-19,O000554,K001,1
2025-11-19,O000555,K002,1
2025-11-19,O000556,K003,2
2025-11-19,O000557,K004,2
2025-11-20,O000558,P043,24
2025-11-20,O000559,P044,24
2025-11-20,O000560,P046,24
2025-11-20,O000561,P047,24
2025-11-20,O000562,P052,6
2025-11-20,O000563,P054,6
2025-11-21,O000566,P025,12
2025-11-21,O000567,P029,12
2025-11-21,O000568,P031,12
2025-11-21,O000569,P034,12
2025-11-22,O000551,P005,24
2025-11-22,O000571,P001,48
2025-11-22,O000572,P002,24
2025-11-22,O000573,P003,24
2025-11-22,O000574,P004,24
2025-11-22,O000575,P005,48
2025-11-22,O000576,P006,24
2025-11-22,O000577,P007,24
2025-11-22,O000578,K001,2
2025-11-22,O000579,K002,1
2025-11-22,O000580,K003,3
2025-11-22,O000581,K004,3
2025-11-22,O000582,K005,2
2025-11-23,O000564,P011,12
2025-11-24,O000565,P017,12
2025-11-24,O000570,P039,12
2025-11-24,O000584,P044,48
2025-11-24,O000585,P045,48
2025-11-24,O000586,P046,48
2025-11-24,O000587,P047,48
2025-11-24,O000588,P048,48
2025-11-24,O000589,P049,24
2025-11-25,O000583,P043,72
2025-11-25,O000590,P013,12
2025-11-25,O000591,P014,12
2025-11-25,O000592,P020,12
2025-11-25,O000593,P025,12
2025-11-25,O000594,P033,12
2025-11-25,O000595,P035,12
2025-11-25,O000597,P038,12
2025-11-26,O000596,P037,12
2025-11-26,O000599,P001,24
2025-11-26,O000600,P002,24
2025-11-26,O000601,P003,24
2025-11-26,O000602,P004,24
2025-11-26,O000603,P006,24
2025-11-26,O000604,P007,24
2025-11-26,O000605,P008,24
2025-11-26,O000606,K001,1
2025-11-26,O000607,K002,2
2025-11-26,O000608,K003,2
2025-11-26,O000609,K004,1
2025-11-26,O000610,K005,2
2025-11-27,O000611,P043,24
2025-11-27,O000612,P045,24
2025-11-27,O000613,P048,24
2025-11-27,O000614,P052,6
2025-11-28,O000598,P041,24
2025-11-28,O000615,P033,12
2025-11-28,O000616,P039,12
2025-11-28,O000617,P041,24
2025-11-28,O000618,P042,12
2025-11-29,O000619,P001,48
2025-11-29,O000620,P002,24
2025-11-29,O000621,P003,24
2025-11-29,O000622,P005,24
2025-11-29,O000623,K001,2
2025-11-29,O000624,K002,1
2025-11-29,O000626,K004,2
2025-11-29,O000627,K005,1
2025-12-01,O000625,K003,2
2025-12-01,O000628,P043,72
2025-12-01,O000629,P044,48
2025-12-01,O000630,P045,48
2025-12-01,O000631,P046,48
2025-12-01,O000632,P047,48
2025-12-01,O000633,P048,24
2025-12-01,O000635,P053,6
2025-12-02,O000634,P049,24
2025-12-02,O000636,P013,12
2025-12-02,O000637,P014,12
2025-12-02,O000638,P025,12
2025-12-02,O000639,P031,12
2025-12-02,O000640,P038,12
2025-12-02,O000641,P039,12
2025-12-02,O000642,P040,12
2025-12-03,O000643,P001,24
2025-12-03,O000644,P002,48
2025-12-03,O000645,P003,24
2025-12-03,O000646,P004,24
2025-12-03,O000647,P005,48
2025-12-03,O000649,P007,24
2025-12-03,O000650,K001,2
2025-12-03,O000651,K002,1
2025-12-03,O000652,K003,3
2025-12-03,O000653,K004,2
2025-12-03,O000654,K005,1
2025-12-04,O000648,P006,24
2025-12-04,O000655,P043,24
2025-12-04,O000656,P044,24
2025-12-04,O000657,P046,24
2025-12-04,O000658,P047,24
2025-12-04,O000659,P052,6
2025-12-04,O000660,P054,6
2025-12-05,O000661,P019,12
2025-12-05,O000662,P022,12
2025-12-05,O000663,P025,12
2025-12-05,O000664,P033,12
2025-12-05,O000665,P038,12
2025-12-06,O000666,P001,48
2025-12-06,O000667,P002,24
2025-12-06,O000668,P003,48
2025-12-06,O000669,P005,24
2025-12-06,O000670,P007,24
2025-12-06,O000671,P008,24
2025-12-06,O000672,K001,1
2025-12-06,O000673,K002,1
2025-12-06,O000674,K003,2
2025-12-06,O000675,K004,2
2025-12-06,O000676,K005,1
2025-12-08,O000677,P043,72
2025-12-08,O000679,P045,24
2025-12-08,O000680,P046,48
2025-12-08,O000681,P047,24
2025-12-08,O000682,P048,48
2025-12-09,O000683,P010,12
2025-12-09,O000684,P011,12
2025-12-09,O000685,P013,12
2025-12-09,O000686,P026,12
2025-12-09,O000687,P027,12
2025-12-09,O000688,P034,12
2025-12-09,O000689,P039,12
2025-12-09,O000690,P041,12
2025-12-10,O000678,P044,24
2025-12-10,O000692,P002,24
2025-12-10,O000693,P003,24
2025-12-10,O000694,P004,24
2025-12-10,O000695,P005,24
2025-12-10,O000696,P006,24
2025-12-10,O000697,P007,24
2025-12-10,O000698,K001,2
2025-12-10,O000699,K002,2
2025-12-10,O000700,K003,2
2025-12-10,O000701,K004,2
2025-12-10,O000702,K005,1
2025-12-11,O000703,P044,24
2025-12-11,O000704,P045,24
2025-12-11,O000705,P047,24
2025-12-11,O000706,P052,6
2025-12-12,O000707,P014,12
2025-12-12,O000708,P025,12
2025-12-12,O000709,P031,12
2025-12-12,O000710,P033,12
2025-12-12,O000711,P036,12
2025-12-12,O000712,P041,12
2025-12-13,O000691,P001,24
2025-12-13,O000714,P002,24
2025-12-13,O000715,P003,24
2025-12-13,O000716,P005,24
2025-12-13,O000717,P007,24
2025-12-13,O000718,K001,2
2025-12-13,O000719,K002,1
2025-12-13,O000720,K003,4
2025-12-13,O000721,K004,2
2025-12-13,O000722,K005,2
2025-12-15,O000713,P001,72
2025-12-15,O000723,P043,96
2025-12-15,O000724,P044,48
2025-12-15,O000725,P045,48
2025-12-15,O000726,P046,48
2025-12-15,O000727,P047,24
2025-12-15,O000728,P048,48
2025-12-15,O000729,P049,24
2025-12-16,O000730,P013,12
2025-12-16,O000731,P020,12
2025-12-16,O000732,P033,12
2025-12-16,O000733,P035,12
2025-12-16,O000734,P038,12
2025-12-16,O000735,P039,12
2025-12-16,O000736,P040,12
2025-12-16,O000737,P041,12
2025-12-16,O000738,P042,12
2025-12-17,O000739,P001,24
2025-12-17,O000740,P002,48
2025-12-17,O000741,P003,24
2025-12-17,O000742,P004,24
2025-12-17,O000743,P005,24
2025-12-17,O000745,P008,24
2025-12-17,O000746,K001,2
2025-12-17,O000747,K002,1
2025-12-17,O000748,K003,2
2025-12-17,O000749,K004,2
2025-12-17,O000750,K005,1
2025-12-18,O000744,P006,24
2025-12-18,O000751,P043,24
2025-12-18,O000752,P046,24
2025-12-18,O000753,P047,24
2025-12-18,O000754,P052,6
2025-12-19,O000755,P016,12
2025-12-19,O000756,P021,12
2025-12-19,O000757,P025,12
2025-12-19,O000758,P029,12
2025-12-19,O000759,P038,12
2025-12-19,O000760,P039,12
2025-12-19,O000761,P041,12
2025-12-20,O000762,P001,48
2025-12-20,O000763,P002,24
2025-12-20,O000764,P003,24
2025-12-20,O000765,P004,24
2025-12-20,O000766,P005,48
2025-12-20,O000767,P006,24
2025-12-20,O000768,P007,24
2025-12-20,O000769,K001,1
2025-12-20,O000770,K002,2
2025-12-20,O000771,K003,3
2025-12-20,O000772,K004,2
2025-12-20,O000773,K005,1
2025-12-22,O000774,P043,72
2025-12-22,O000775,P044,48
2025-12-22,O000776,P045,48
2025-12-22,O000777,P046,48
2025-12-22,O000778,P047,48
2025-12-22,O000779,P048,48
2025-12-22,O000780,P049,24
2025-12-22,O000781,P054,6
2025-12-22,O000782,P055,6
2025-12-23,O000783,P013,12
2025-12-23,O000784,P014,12
2025-12-23,O000785,P019,12
2025-12-23,O000786,P025,12
2025-12-23,O000787,P031,12
2025-12-23,O000788,P033,12
2025-12-23,O000789,P037,12
2025-12-23,O000790,P038,12
2025-12-23,O000791,P039,12
2025-12-23,O000792,P041,12
2025-12-24,O000793,P001,48
2025-12-24,O000794,P002,24
2025-12-24,O000795,P003,24
2025-12-24,O000796,P005,24
2025-12-24,O000797,P006,24
2025-12-24,O000798,P007,24
2025-12-24,O000799,P008,24
2025-12-24,O000800,K001,2
2025-12-24,O000801,K002,1
2025-12-24,O000802,K003,3
2025-12-24,O000803,K004,2
2025-12-24,O000804,K005,2
2025-12-25,O000805,P043,24
2025-12-25,O000806,P044,24
2025-12-25,O000807,P045,24
2025-12-25,O000809,P047,24
2025-12-25,O000810,P052,6
2025-12-26,O000808,P046,24
2025-12-26,O000811,P041,12
2025-12-27,O000812,P001,24
2025-12-27,O000813,P002,48
2025-12-27,O000814,P003,24
2025-12-27,O000815,P004,24
2025-12-27,O000816,P005,24
2025-12-27,O000817,P007,24
2025-12-27,O000818,K001,1
2025-12-27,O000819,K002,1
2025-12-27,O000820,K003,2
2025-12-27,O000821,K004,2
2025-12-27,O000822,K005,1
2025-12-29,O000823,P043,72
2025-12-29,O000825,P045,24
2025-12-29,O000826,P046,24
2025-12-29,O000827,P047,24
2025-12-29,O000828,P048,24
2025-12-29,O000829,P049,24
2025-12-30,O000824,P044,24
2025-12-30,O000830,P011,12
2025-12-30,O000831,P014,12
2025-12-30,O000832,P025,12
2025-12-30,O000833,P033,12
2025-12-30,O000834,P034,12
2025-12-30,O000835,P038,12
2025-12-30,O000836,P039,12
2025-12-30,O000837,P040,12
2025-12-30,O000838,P041,12
2025-12-31,O000839,P001,24
2025-12-31,O000840,P002,24
2025-12-31,O000841,P003,24
2025-12-31,O000842,P005,24
2025-12-31,O000843,P006,24
2025-12-31,O000844,K001,1
2025-12-31,O000845,K002,1
2025-12-31,O000846,K003,1
2025-12-31,O000847,K004,2
2025-12-31,O000848,K005,1
2026-01-01,O000849,P043,24
2026-01-01,O000850,P044,24
2026-01-01,O000851,P046,24
2026-01-01,O000852,P048,24
2026-01-02,O000853,P013,12
2026-01-02,O000854,P031,12
2026-01-02,O000855,P041,12
2026-01-03,O000856,P001,24
2026-01-03,O000857,P003,24
2026-01-03,O000859,P005,24
2026-01-03,O000860,P007,24
2026-01-03,O000861,K001,1
2026-01-03,O000863,K003,1
2026-01-03,O000864,K004,1
2026-01-03,O000865,K005,1
2026-01-04,O000858,P004,24
2026-01-05,O000867,P044,24
2026-01-05,O000868,P045,24
2026-01-05,O000869,P046,24
2026-01-05,O000870,P047,48
2026-01-05,O000871,P048,24
2026-01-05,O000872,P052,6
2026-01-06,O000862,K002,1
2026-01-06,O000873,P020,12
2026-01-06,O000874,P025,12
