reservation_id,date,time,party_size,reservation_type,status
R000062,2025-09-10,20:00,2,regular,confirmed
R000063,2025-09-10,20:30,4,regular,confirmed
R000064,2025-09-10,22:00,4,regular,confirmed
R000065,2025-09-10,22:00,2,regular,confirmed
R000066,2025-09-10,22:00,6,regular,confirmed
R000067,2025-09-11,20:00,17,large_group,confirmed
R000068,2025-09-11,22:00,2,regular,cancelled
R000069,2025-09-11,22:00,6,regular,confirmed
R000070,2025-09-11,19:00,5,regular,confirmed
R000071,2025-09-11,22:00,2,regular,confirmed
R000072,2025-09-11,22:00,6,regular,confirmed
R000073,2025-09-11,20:30,2,regular,confirmed
R000074,2025-09-11,18:30,4,regular,confirmed
R000075,2025-09-11,21:00,2,regular,confirmed
R000076,2025-09-12,22:00,4,regular,confirmed
R000077,2025-09-12,20:30,2,regular,confirmed
R000078,2025-09-12,20:30,4,regular,confirmed
R000079,2025-09-12,21:00,2,regular,confirmed
R000080,2025-09-12,21:00,6,regular,confirmed
R000081,2025-09-12,22:00,4,regular,cancelled
R000082,2025-09-12,19:00,4,regular,confirmed
R000083,2025-09-12,21:00,6,regular,confirmed
R000084,2025-09-12,22:00,4,regular,confirmed
R000085,2025-09-12,18:30,2,regular,confirmed
R000086,2025-09-12,22:00,4,regular,cancelled
R000087,2025-09-13,20:30,5,regular,confirmed
R000088,2025-09-13,22:00,4,regular,confirmed
R000089,2025-09-13,19:00,4,regular,confirmed
R000090,2025-09-13,22:00,10,birthday,confirmed
R000091,2025-09-13,20:30,6,regular,confirmed
R000092,2025-09-13,20:30,2,regular,confirmed
R000093,2025-09-13,22:00,3,regular,confirmed
R000094,2025-09-13,22:00,4,regular,confirmed
R000095,2025-09-14,18:30,2,regular,confirmed
R000096,2025-09-14,20:00,14,birthday,confirmed
R000097,2025-09-14,20:30,3,regular,confirmed
R000098,2025-09-14,18:30,4,regular,confirmed
R000099,2025-09-14,18:30,6,regular,confirmed
R000100,2025-09-14,21:00,4,regular,confirmed
R000101,2025-09-14,20:00,6,regular,confirmed
R000102,2025-09-15,21:00,5,regular,confirmed
R000103,2025-09-15,18:30,5,regular,confirmed
R000104,2025-09-16,21:00,4,regular,confirmed
R000105,2025-09-16,22:00,10,birthday,confirmed
R000106,2025-09-16,21:00,3,regular,confirmed
R000107,2025-09-16,19:00,2,regular,confirmed
R000108,2025-09-16,18:30,4,regular,confirmed
R000109,2025-09-16,19:00,6,regular,confirmed
R000110,2025-09-17,21:00,4,regular,confirmed
R000111,2025-09-17,18:30,2,regular,confirmed
R000112,2025-09-17,21:00,4,regular,confirmed
R000113,2025-09-17,20:00,2,regular,confirmed
R000114,2025-09-17,22:00,2,regular,confirmed
R000115,2025-09-17,18:30,5,regular,confirmed
R000116,2025-09-18,18:30,2,regular,confirmed
R000117,2025-09-18,22:00,6,regular,confirmed
R000118,2025-09-18,18:30,4,regular,confirmed
R000119,2025-09-18,22:00,6,regular,confirmed
R000120,2025-09-18,20:00,5,regular,cancelled
R000121,2025-09-18,22:00,2,regular,confirmed
R000122,2025-09-18,18:30,14,birthday,confirmed
R000123,2025-09-18,18:30,6,regular,confirmed
R000124,2025-09-18,19:00,3,regular,confirmed
R000125,2025-09-18,20:00,6,regular,confirmed
R000126,2025-09-18,20:00,4,regular,confirmed
R000127,2025-09-18,21:00,4,regular,confirmed
R000128,2025-09-19,21:00,2,regular,confirmed
R000129,2025-09-19,20:00,2,regular,confirmed
R000130,2025-09-19,18:30,4,regular,confirmed
R000131,2025-09-19,22:00,2,regular,confirmed
R000132,2025-09-19,18:30,4,regular,confirmed
R000133,2025-09-19,20:30,8,birthday,confirmed
R000134,2025-09-19,19:00,4,regular,confirmed
R000135,2025-09-19,18:30,2,regular,confirmed
R000136,2025-09-19,20:00,4,regular,confirmed
R000137,2025-09-19,20:30,6,regular,confirmed
R000138,2025-09-20,18:30,6,regular,confirmed
R000139,2025-09-20,19:00,4,regular,confirmed
R000140,2025-09-20,18:30,3,regular,confirmed
R000141,2025-09-20,21:00,2,regular,confirmed
R000142,2025-09-20,20:30,2,regular,cancelled
R000143,2025-09-20,20:00,4,regular,confirmed
R000144,2025-09-20,20:30,2,regular,confirmed
R000145,2025-09-20,20:00,15,birthday,confirmed
R000146,2025-09-20,18:30,5,regular,confirmed
R000147,2025-09-20,22:00,3,regular,confirmed
R000148,2025-09-21,21:00,6,regular,cancelled
R000149,2025-09-21,21:00,2,regular,confirmed
R000150,2025-09-21,21:00,5,regular,confirmed
R000151,2025-09-21,22:00,3,regular,confirmed
R000152,2025-09-21,21:00,2,regular,confirmed
R000153,2025-09-22,19:00,6,regular,confirmed
R000154,2025-09-22,21:00,2,regular,confirmed
R000155,2025-09-22,18:30,6,regular,confirmed
R000156,2025-09-23,20:00,2,regular,confirmed
R000157,2025-09-23,21:00,2,regular,confirmed
R000158,2025-09-23,19:00,3,regular,confirmed
R000159,2025-09-23,20:30,4,regular,confirmed
R000160,2025-09-23,22:00,6,regular,cancelled
R000161,2025-09-23,19:00,4,regular,confirmed
R000162,2025-09-23,21:00,5,regular,confirmed
R000163,2025-09-23,20:00,4,regular,confirmed
R000164,2025-09-23,20:30,4,regular,cancelled
R000165,2025-09-24,21:00,2,regular,confirmed
R000166,2025-09-24,21:00,6,regular,confirmed
R000167,2025-09-24,20:00,2,regular,confirmed
R000168,2025-09-24,19:00,2,regular,confirmed
R000169,2025-09-24,19:00,5,regular,confirmed
R000170,2025-09-25,20:30,6,regular,confirmed
R000171,2025-09-25,20:00,6,regular,confirmed
R000172,2025-09-25,19:00,6,regular,confirmed
R000173,2025-09-25,19:00,2,regular,confirmed
R000174,2025-09-25,20:30,4,regular,confirmed
R000175,2025-09-26,18:30,6,regular,confirmed
R000176,2025-09-26,20:30,6,regular,confirmed
R000177,2025-09-26,22:00,2,regular,confirmed
R000178,2025-09-26,20:30,22,large_group,confirmed
R000179,2025-09-26,21:00,5,regular,confirmed
R000180,2025-09-26,20:00,3,regular,confirmed
R000181,2025-09-26,18:30,3,regular,confirmed
R000182,2025-09-26,19:00,5,regular,confirmed
R000183,2025-09-26,21:00,6,regular,confirmed
R000184,2025-09-26,20:30,4,regular,confirmed
R000185,2025-09-26,19:00,2,regular,confirmed
R000186,2025-09-26,21:00,2,regular,confirmed
R000187,2025-09-27,19:00,5,regular,confirmed
R000188,2025-09-27,20:00,6,regular,confirmed
R000189,2025-09-27,21:00,4,regular,confirmed
R000190,2025-09-27,18:30,4,regular,confirmed
R000191,2025-09-27,21:00,5,regular,confirmed
R000192,2025-09-28,22:00,2,regular,confirmed
R000193,2025-09-28,20:00,2,regular,confirmed
R000194,2025-09-28,19:00,6,regular,confirmed
R000195,2025-09-28,20:30,12,birthday,confirmed
R000196,2025-09-28,21:00,2,regular,confirmed
R000197,2025-09-28,21:00,5,regular,confirmed
R000198,2025-09-29,21:00,2,regular,confirmed
R000199,2025-09-29,20:30,12,birthday,confirmed
R000200,2025-10-01,22:00,2,regular,confirmed
R000201,2025-10-01,19:00,6,regular,confirmed
R000202,2025-10-01,20:30,6,regular,confirmed
R000203,2025-10-01,22:00,4,regular,confirmed
R000204,2025-10-01,22:00,2,regular,cancelled
R000205,2025-10-02,18:30,4,regular,confirmed
R000206,2025-10-02,22:00,13,birthday,confirmed
R000207,2025-10-02,22:00,4,regular,cancelled
R000208,2025-10-02,20:00,2,regular,confirmed
R000209,2025-10-02,19:00,4,regular,cancelled
R000210,2025-10-02,18:30,4,regular,confirmed
R000211,2025-10-02,18:30,3,regular,confirmed
R000212,2025-10-02,18:30,4,regular,confirmed
R000213,2025-10-02,18:30,21,large_group,confirmed
R000214,2025-10-02,21:00,4,regular,confirmed
R000215,2025-10-02,21:00,15,birthday,confirmed
R000216,2025-10-03,20:00,46,private_event,confirmed
R000217,2025-10-03,20:00,5,regular,confirmed
R000218,2025-10-03,19:00,6,regular,confirmed
R000219,2025-10-03,22:00,4,regular,confirmed
R000220,2025-10-03,20:30,2,regular,cancelled
R000221,2025-10-03,19:00,16,birthday,confirmed
R000222,2025-10-03,22:00,3,regular,confirmed
R000223,2025-10-03,20:00,3,regular,confirmed
R000224,2025-10-03,20:00,2,regular,confirmed
R000225,2025-10-03,22:00,4,regular,confirmed
R000226,2025-10-03,20:30,3,regular,confirmed
R000227,2025-10-03,20:30,4,regular,confirmed
R000228,2025-10-03,21:00,4,regular,confirmed
R000229,2025-10-04,20:30,2,regular,confirmed
R000230,2025-10-04,20:00,2,regular,confirmed
R000231,2025-10-04,19:00,2,regular,confirmed
R000232,2025-10-04,20:30,6,regular,confirmed
R000233,2025-10-04,20:30,3,regular,confirmed
R000234,2025-10-04,20:30,3,regular,confirmed
R000235,2025-10-04,19:00,4,regular,confirmed
R000236,2025-10-04,20:30,6,regular,cancelled
R000237,2025-10-04,21:00,2,regular,confirmed
R000238,2025-10-04,20:00,2,regular,confirmed
R000239,2025-10-04,19:00,4,regular,confirmed
R000240,2025-10-04,20:30,4,regular,confirmed
R000241,2025-10-05,22:00,5,regular,confirmed
R000242,2025-10-05,18:30,5,regular,confirmed
R000243,2025-10-05,20:30,2,regular,confirmed
R000244,2025-10-06,20:00,9,birthday,confirmed
R000245,2025-10-06,22:00,40,private_event,confirmed
R000246,2025-10-06,20:30,5,regular,confirmed
R000247,2025-10-06,22:00,2,regular,confirmed
R000248,2025-10-07,20:00,6,regular,confirmed
R000249,2025-10-07,19:00,5,regular,confirmed
R000250,2025-10-08,21:00,15,birthday,confirmed
R000251,2025-10-08,20:30,2,regular,confirmed
R000252,2025-10-08,19:00,4,regular,confirmed
R000253,2025-10-09,20:30,2,regular,confirmed
R000254,2025-10-09,20:30,4,regular,confirmed
R000255,2025-10-09,18:30,2,regular,confirmed
R000256,2025-10-09,20:00,4,regular,confirmed
R000257,2025-10-09,22:00,25,large_group,confirmed
R000258,2025-10-09,18:30,2,regular,confirmed
R000259,2025-10-09,20:30,2,regular,cancelled
R000260,2025-10-09,20:00,5,regular,confirmed
R000261,2025-10-09,19:00,2,regular,confirmed
R000262,2025-10-09,20:30,2,regular,confirmed
R000263,2025-10-09,20:00,3,regular,confirmed
R000264,2025-10-09,22:00,2,regular,confirmed
R000265,2025-10-10,20:30,4,regular,confirmed
R000266,2025-10-10,19:00,2,regular,cancelled
R000267,2025-10-10,22:00,5,regular,cancelled
R000268,2025-10-10,18:30,4,regular,confirmed
R000269,2025-10-10,20:00,4,regular,confirmed
R000270,2025-10-10,18:30,6,regular,confirmed
R000271,2025-10-10,20:00,5,regular,confirmed
R000272,2025-10-10,20:30,4,regular,confirmed
R000273,2025-10-10,20:00,2,regular,confirmed
R000274,2025-10-10,19:00,3,regular,confirmed
R000275,2025-10-10,20:00,2,regular,confirmed
R000276,2025-10-10,21:00,2,regular,cancelled
R000277,2025-10-10,20:00,21,large_group,cancelled
R000278,2025-10-10,19:00,2,regular,confirmed
R000279,2025-10-11,20:00,3,regular,confirmed
R000280,2025-10-11,20:30,6,regular,confirmed
R000281,2025-10-11,22:00,6,regular,confirmed
R000282,2025-10-11,19:00,6,regular,confirmed
R000283,2025-10-11,21:00,2,regular,confirmed
R000284,2025-10-11,18:30,10,birthday,confirmed
R000285,2025-10-11,18:30,3,regular,confirmed
R000286,2025-10-12,19:00,11,birthday,confirmed
R000287,2025-10-12,22:00,6,regular,confirmed
R000288,2025-10-12,21:00,2,regular,confirmed
R000289,2025-10-12,21:00,2,regular,confirmed
R000290,2025-10-12,21:00,2,regular,confirmed
R000291,2025-10-12,20:30,4,regular,confirmed
R000292,2025-10-12,18:30,2,regular,confirmed
R000293,2025-10-13,22:00,3,regular,confirmed
R000294,2025-10-13,20:30,4,regular,confirmed
R000295,2025-10-13,20:00,5,regular,confirmed
R000296,2025-10-14,20:00,4,regular,confirmed
R000297,2025-10-14,22:00,4,regular,confirmed
R000298,2025-10-14,20:30,2,regular,confirmed
R000299,2025-10-15,20:30,6,regular,confirmed
R000300,2025-10-15,21:00,4,regular,confirmed
R000301,2025-10-15,20:30,5,regular,confirmed
R000302,2025-10-16,18:30,6,regular,confirmed
R000303,2025-10-16,22:00,12,large_group,confirmed
R000304,2025-10-16,20:30,4,regular,confirmed
R000305,2025-10-16,19:00,4,regular,confirmed
R000306,2025-10-16,19:00,41,private_event,confirmed
R000307,2025-10-16,22:00,3,regular,confirmed
R000308,2025-10-16,20:00,6,regular,confirmed
R000309,2025-10-16,20:30,17,large_group,confirmed
R000310,2025-10-16,20:30,6,regular,confirmed
R000311,2025-10-16,19:00,10,birthday,confirmed
R000312,2025-10-16,20:00,5,regular,confirmed
R000313,2025-10-16,22:00,2,regular,confirmed
R000314,2025-10-16,20:30,3,regular,confirmed
R000315,2025-10-17,19:00,3,regular,confirmed
R000316,2025-10-17,20:00,4,regular,confirmed
R000317,2025-10-17,22:00,2,regular,cancelled
R000318,2025-10-17,18:30,2,regular,confirmed
R000319,2025-10-17,18:30,3,regular,confirmed
R000320,2025-10-17,21:00,2,regular,confirmed
R000321,2025-10-17,21:00,6,regular,confirmed
R000322,2025-10-17,20:00,4,regular,confirmed
R000323,2025-10-17,19:00,6,regular,confirmed
R000324,2025-10-17,20:30,4,regular,confirmed
R000325,2025-10-17,21:00,4,regular,confirmed
R000326,2025-10-17,20:30,4,regular,confirmed
R000327,2025-10-17,18:30,4,regular,confirmed
R000328,2025-10-17,21:00,5,regular,confirmed
R000329,2025-10-17,21:00,4,regular,confirmed
R000330,2025-10-18,20:00,19,large_group,confirmed
R000331,2025-10-18,20:30,2,regular,confirmed
R000332,2025-10-18,20:30,2,regular,confirmed
R000333,2025-10-18,21:00,5,regular,confirmed
R000334,2025-10-18,21:00,6,regular,confirmed
R000335,2025-10-18,20:00,4,regular,confirmed
R000336,2025-10-18,20:00,2,regular,confirmed
R000337,2025-10-18,20:00,2,regular,confirmed
R000338,2025-10-18,21:00,5,regular,confirmed
R000339,2025-10-18,22:00,2,regular,confirmed
R000340,2025-10-18,20:00,4,regular,confirmed
R000341,2025-10-18,20:00,2,regular,confirmed
R000342,2025-10-19,19:00,3,regular,confirmed
R000343,2025-10-19,22:00,6,regular,confirmed
R000344,2025-10-20,20:30,2,regular,confirmed
R000345,2025-10-20,20:30,10,birthday,confirmed
R000346,2025-10-20,19:00,14,birthday,confirmed
R000347,2025-10-21,22:00,5,regular,confirmed
R000348,2025-10-21,21:00,4,regular,confirmed
R000349,2025-10-21,19:00,2,regular,confirmed
R000350,2025-10-21,19:00,6,regular,confirmed
R000351,2025-10-21,19:00,5,regular,confirmed
R000352,2025-10-21,19:00,4,regular,confirmed
R000353,2025-10-22,20:30,4,regular,confirmed
R000354,2025-10-22,21:00,4,regular,confirmed
R000355,2025-10-22,22:00,4,regular,confirmed
R000356,2025-10-23,18:30,5,regular,confirmed
R000357,2025-10-23,20:00,2,regular,confirmed
R000358,2025-10-23,20:00,6,regular,confirmed
R000359,2025-10-23,22:00,5,regular,confirmed
R000360,2025-10-23,19:00,15,birthday,confirmed
R000361,2025-10-23,20:00,4,regular,confirmed
R000362,2025-10-24,19:00,4,regular,confirmed
R000363,2025-10-24,20:00,6,regular,confirmed
R000364,2025-10-24,18:30,4,regular,confirmed
R000365,2025-10-24,19:00,2,regular,confirmed
R000366,2025-10-24,20:30,6,regular,confirmed
R000367,2025-10-24,19:00,6,regular,confirmed
R000368,2025-10-24,22:00,3,regular,confirmed
R000369,2025-10-24,20:30,5,regular,confirmed
R000370,2025-10-24,20:00,6,regular,confirmed
R000371,2025-10-24,22:00,6,regular,confirmed
R000372,2025-10-25,21:00,25,large_group,confirmed
R000373,2025-10-25,20:30,6,regular,confirmed
R000374,2025-10-25,19:00,2,regular,confirmed
R000375,2025-10-25,20:00,6,regular,confirmed
R000376,2025-10-25,20:00,11,birthday,confirmed
R000377,2025-10-25,18:30,2,regular,confirmed
R000378,2025-10-25,22:00,6,regular,confirmed
R000379,2025-10-25,19:00,4,regular,confirmed
R000380,2025-10-25,20:30,4,regular,confirmed
R000381,2025-10-25,20:30,2,regular,confirmed
R000382,2025-10-25,20:00,4,regular,confirmed
R000383,2025-10-25,21:00,2,regular,confirmed
R000384,2025-10-25,22:00,6,regular,confirmed
R000385,2025-10-25,19:00,3,regular,confirmed
R000386,2025-10-25,21:00,10,birthday,confirmed
R000387,2025-10-26,18:30,2,regular,confirmed
R000388,2025-10-26,20:30,6,regular,confirmed
R000389,2025-10-26,18:30,4,regular,confirmed
R000390,2025-10-26,22:00,4,regular,confirmed
R000391,2025-10-26,22:00,3,regular,confirmed
R000392,2025-10-26,18:30,5,regular,confirmed
R000393,2025-10-26,20:30,3,regular,confirmed
R000394,2025-10-27,21:00,2,regular,confirmed
R000395,2025-10-27,18:30,6,regular,confirmed
R000396,2025-10-27,18:30,3,regular,confirmed
R000397,2025-10-27,20:30,23,large_group,confirmed
R000398,2025-10-28,20:30,2,regular,confirmed
R000399,2025-10-28,21:00,15,birthday,confirmed
R000400,2025-10-28,21:00,2,regular,confirmed
R000401,2025-10-29,20:00,2,regular,confirmed
R000402,2025-10-29,20:30,5,regular,cancelled
R000403,2025-10-29,19:00,41,private_event,confirmed
R000404,2025-10-29,21:00,2,regular,confirmed
R000405,2025-10-29,19:00,4,regular,confirmed
R000406,2025-10-29,19:00,4,regular,confirmed
R000407,2025-10-29,21:00,16,large_group,confirmed
R000408,2025-10-29,19:00,12,large_group,confirmed
R000409,2025-10-30,18:30,2,regular,confirmed
R000410,2025-10-30,18:30,2,regular,cancelled
R000411,2025-10-30,19:00,2,regular,confirmed
R000412,2025-10-30,20:30,6,regular,confirmed
R000413,2025-10-30,22:00,2,regular,confirmed
R000414,2025-10-30,20:00,3,regular,confirmed
R000415,2025-10-30,22:00,17,large_group,confirmed
R000416,2025-10-30,20:30,6,regular,confirmed
R000417,2025-10-30,22:00,3,regular,confirmed
R000418,2025-10-30,22:00,4,regular,confirmed
R000419,2025-10-30,19:00,3,regular,confirmed
R000420,2025-10-31,18:30,5,regular,confirmed
R000421,2025-10-31,20:30,2,regular,confirmed
R000422,2025-10-31,21:00,5,regular,confirmed
R000423,2025-10-31,21:00,5,regular,confirmed
R000424,2025-10-31,22:00,2,regular,confirmed
R000425,2025-10-31,19:00,2,regular,confirmed
R000426,2025-10-31,20:30,3,regular,confirmed
R000427,2025-10-31,19:00,20,large_group,cancelled
R000428,2025-10-31,20:30,2,regular,confirmed
R000429,2025-10-31,20:00,13,birthday,confirmed
R000430,2025-11-01,19:00,6,regular,confirmed
R000431,2025-11-01,22:00,4,regular,confirmed
R000432,2025-11-01,20:00,2,regular,confirmed
R000433,2025-11-01,20:00,6,regular,confirmed
R000434,2025-11-01,21:00,5,regular,confirmed
R000435,2025-11-01,18:30,2,regular,confirmed
R000436,2025-11-01,19:00,4,regular,confirmed
R000437,2025-11-01,20:00,4,regular,confirmed
R000438,2025-11-01,22:00,4,regular,confirmed
R000439,2025-11-01,22:00,4,regular,cancelled
R000440,2025-11-01,19:00,3,regular,confirmed
R000441,2025-11-02,22:00,2,regular,confirmed
R000442,2025-11-02,20:00,6,regular,confirmed
R000443,2025-11-02,21:00,4,regular,confirmed
R000444,2025-11-02,20:00,4,regular,cancelled
R000445,2025-11-02,20:30,4,regular,confirmed
R000446,2025-11-02,20:00,4,regular,confirmed
R000447,2025-11-03,21:00,4,regular,confirmed
R000448,2025-11-03,22:00,5,regular,confirmed
R000449,2025-11-03,18:30,2,regular,confirmed
R000450,2025-11-03,19:00,2,regular,confirmed
R000451,2025-11-03,18:30,4,regular,confirmed
R000452,2025-11-03,22:00,2,regular,confirmed
R000453,2025-11-03,21:00,3,regular,cancelled
R000454,2025-11-03,21:00,3,regular,confirmed
R000455,2025-11-03,20:30,4,regular,confirmed
R000456,2025-11-04,20:00,2,regular,confirmed
R000457,2025-11-04,18:30,2,regular,confirmed
R000458,2025-11-04,20:30,10,birthday,confirmed
R000459,2025-11-04,22:00,4,regular,confirmed
R000460,2025-11-04,22:00,6,regular,confirmed
R000461,2025-11-04,21:00,10,birthday,confirmed
R000462,2025-11-05,21:00,2,regular,confirmed
R000463,2025-11-05,18:30,5,regular,confirmed
R000464,2025-11-05,22:00,3,regular,cancelled
R000465,2025-11-05,22:00,2,regular,confirmed
R000466,2025-11-05,20:00,9,birthday,confirmed
R000467,2025-11-05,18:30,2,regular,cancelled
R000468,2025-11-06,19:00,2,regular,confirmed
R000469,2025-11-06,18:30,2,regular,confirmed
R000470,2025-11-06,19:00,4,regular,cancelled
R000471,2025-11-06,20:30,4,regular,confirmed
R000472,2025-11-06,19:00,5,regular,confirmed
R000473,2025-11-06,18:30,6,regular,confirmed
R000474,2025-11-07,22:00,4,regular,confirmed
R000475,2025-11-07,20:00,2,regular,confirmed
R000476,2025-11-07,18:30,2,regular,confirmed
R000477,2025-11-07,19:00,5,regular,confirmed
R000478,2025-11-07,20:30,4,regular,confirmed
R000479,2025-11-07,20:30,4,regular,confirmed
R000480,2025-11-07,18:30,10,birthday,confirmed
R000481,2025-11-08,21:00,2,regular,confirmed
R000482,2025-11-08,20:00,2,regular,confirmed
R000483,2025-11-08,20:30,6,regular,confirmed
R000484,2025-11-08,22:00,3,regular,cancelled
R000485,2025-11-08,21:00,2,regular,confirmed
R000486,2025-11-08,22:00,4,regular,confirmed
R000487,2025-11-08,19:00,5,regular,confirmed
R000488,2025-11-08,21:00,4,regular,confirmed
R000489,2025-11-08,20:00,4,regular,confirmed
R000490,2025-11-08,20:30,6,regular,confirmed
R000491,2025-11-09,22:00,3,regular,confirmed
R000492,2025-11-09,20:00,2,regular,confirmed
R000493,2025-11-09,19:00,4,regular,confirmed
R000494,2025-11-09,21:00,4,regular,confirmed
R000495,2025-11-09,21:00,5,regular,confirmed
R000496,2025-11-09,20:00,5,regular,confirmed
R000497,2025-11-11,21:00,2,regular,confirmed
R000498,2025-11-11,21:00,6,regular,confirmed
R000499,2025-11-11,21:00,3,regular,confirmed
R000500,2025-11-11,20:00,9,birthday,confirmed
R000501,2025-11-12,22:00,2,regular,cancelled
R000502,2025-11-13,20:30,2,regular,confirmed
R000503,2025-11-13,20:30,3,regular,confirmed
R000504,2025-11-13,20:30,3,regular,confirmed
R000505,2025-11-13,20:00,2,regular,confirmed
R000506,2025-11-13,19:00,4,regular,confirmed
R000507,2025-11-13,20:30,2,regular,confirmed
R000508,2025-11-13,22:00,4,regular,confirmed
R000509,2025-11-13,20:30,4,regular,confirmed
R000510,2025-11-14,21:00,3,regular,confirmed
R000511,2025-11-14,20:00,6,regular,confirmed
R000512,2025-11-14,20:00,2,regular,confirmed
R000513,2025-11-14,18:30,4,regular,confirmed
R000514,2025-11-14,19:00,4,regular,confirmed
R000515,2025-11-14,20:30,4,regular,confirmed
R000516,2025-11-14,21:00,6,regular,confirmed
R000517,2025-11-14,21:00,3,regular,confirmed
R000518,2025-11-14,18:30,6,regular,confirmed
R000519,2025-11-14,18:30,4,regular,cancelled
R000520,2025-11-14,21:00,3,regular,confirmed
R000521,2025-11-14,21:00,4,regular,confirmed
R000522,2025-11-14,18:30,4,regular,confirmed
R000523,2025-11-14,20:30,2,regular,confirmed
R000524,2025-11-14,20:30,2,regular,confirmed
R000525,2025-11-15,19:00,5,regular,confirmed
R000526,2025-11-15,20:00,5,regular,confirmed
R000527,2025-11-15,18:30,5,regular,confirmed
R000528,2025-11-15,22:00,2,regular,cancelled
R000529,2025-11-15,21:00,2,regular,confirmed
R000530,2025-11-15,21:00,22,large_group,confirmed
R000531,2025-11-15,22:00,4,regular,confirmed
R000532,2025-11-15,20:30,2,regular,cancelled
R000533,2025-11-15,20:00,2,regular,confirmed
R000534,2025-11-15,20:00,2,regular,confirmed
R000535,2025-11-15,20:00,18,large_group,confirmed
R000536,2025-11-15,20:30,5,regular,confirmed
R000537,2025-11-16,20:30,4,regular,confirmed
R000538,2025-11-16,18:30,2,regular,confirmed
R000539,2025-11-16,19:00,4,regular,confirmed
R000540,2025-11-16,21:00,3,regular,confirmed
R000541,2025-11-16,22:00,9,birthday,confirmed
R000542,2025-11-16,21:00,3,regular,confirmed
R000543,2025-11-16,22:00,4,regular,confirmed
R000544,2025-11-17,18:30,6,regular,confirmed
R000545,2025-11-17,22:00,4,regular,confirmed
R000546,2025-11-17,22:00,3,regular,confirmed
R000547,2025-11-17,20:30,2,regular,confirmed
R000548,2025-11-17,21:00,2,regular,cancelled
R000549,2025-11-17,22:00,8,birthday,cancelled
R000550,2025-11-18,18:30,2,regular,confirmed
R000551,2025-11-18,20:30,4,regular,confirmed
R000552,2025-11-18,20:30,4,regular,confirmed
R000553,2025-11-19,22:00,3,regular,confirmed
R000554,2025-11-19,20:30,2,regular,confirmed
R000555,2025-11-20,20:00,2,regular,confirmed
R000556,2025-11-20,20:30,5,regular,confirmed
