sale_id,date,item_type,item_id,item_name,category,units_sold,lost_sales_due_to_stockout,revenue
SALE0000027,2025-09-01,product,P020,Jack Daniel's,whiskey,6,0,240
SALE0000028,2025-09-01,product,P022,Chivas Regal,whiskey,1,0,45
SALE0000029,2025-09-01,product,P023,Maker's Mark,whiskey,1,0,50
SALE0000030,2025-09-01,product,P024,Glenfiddich 12,whiskey,1,0,65
SALE0000031,2025-09-01,product,P025,Bacardi Carta Blanca,rum,2,0,60
SALE0000032,2025-09-01,product,P026,Havana Club 3,rum,2,0,70
SALE0000033,2025-09-01,product,P027,Captain Morgan,rum,2,0,70
SALE0000034,2025-09-01,product,P028,Diplomatico Reserva,rum,1,0,60
SALE0000035,2025-09-01,product,P029,Jose Cuervo,tequila,1,0,35
SALE0000036,2025-09-01,product,P030,Olmeca Blanco,tequila,2,0,70
SALE0000037,2025-09-01,product,P031,Patron Silver,tequila,1,0,70
SALE0000038,2025-09-01,product,P032,Don Julio Blanco,tequila,1,0,70
SALE0000039,2025-09-01,product,P033,Aperol,aperitif,2,0,60
SALE0000040,2025-09-01,product,P034,Campari,aperitif,3,0,105
SALE0000041,2025-09-01,product,P035,Cointreau,liqueur,1,0,45
SALE0000042,2025-09-01,product,P036,Kahlua,liqueur,1,0,40
SALE0000043,2025-09-01,product,P038,House Red Wine,wine,9,0,450
SALE0000044,2025-09-01,product,P039,House White Wine,wine,4,0,200
SALE0000045,2025-09-01,product,P040,Rose Wine,wine,2,0,100
SALE0000046,2025-09-01,product,P041,Prosecco,wine,2,0,110
SALE0000047,2025-09-01,product,P042,Chardonnay,wine,1,0,65
SALE0000048,2025-09-01,product,P043,Coca-Cola,soft_drink,5,0,70.0
SALE0000049,2025-09-01,product,P044,Coca-Cola Zero,soft_drink,4,0,56.0
SALE0000050,2025-09-01,product,P045,Sprite,soft_drink,4,0,56.0
SALE0000051,2025-09-01,product,P046,Tonic Water,soft_drink,4,0,56.0
SALE0000052,2025-09-01,product,P047,Soda Water,soft_drink,2,0,24.0
SALE0000053,2025-09-01,product,P048,Red Bull,soft_drink,5,0,100.0
SALE0000054,2025-09-01,product,P049,Ginger Beer,soft_drink,1,0,16.0
SALE0000055,2025-09-01,product,K001,Carlsberg 50L,draught_beer,30,0,960
SALE0000056,2025-09-01,product,K002,Tuborg 50L,draught_beer,42,0,1344
SALE0000057,2025-09-01,product,K003,Carlsberg 30L,draught_beer,43,0,1376
SALE0000058,2025-09-01,product,K004,Malka 30L,draught_beer,29,0,928
SALE0000059,2025-09-01,product,K005,Weihenstephan 30L,draught_beer,23,0,736
SALE0000060,2025-09-02,cocktail,C001,Aperol Spritz,cocktail,15,0,690
SALE0000061,2025-09-02,cocktail,C002,Margarita,cocktail,15,0,750
SALE0000062,2025-09-02,cocktail,C003,Negroni,cocktail,9,0,468
SALE0000063,2025-09-02,cocktail,C004,Mojito,cocktail,9,0,432
SALE0000064,2025-09-02,cocktail,C005,Espresso Martini,cocktail,9,0,486
SALE0000065,2025-09-02,cocktail,C006,Gin & Tonic,cocktail,12,0,504
SALE0000066,2025-09-02,cocktail,C007,Long Island Iced Tea,cocktail,4,0,232
SALE0000067,2025-09-02,product,P001,Carlsberg,beer,2,0,48.0
SALE0000068,2025-09-02,product,P002,Heineken,beer,7,0,175.0
SALE0000069,2025-09-02,product,P003,Corona,beer,7,0,189.0
SALE0000070,2025-09-02,product,P004,Guinness,beer,3,0,87.0
SALE0000071,2025-09-02,product,P005,Goldstar,beer,3,0,69.0
SALE0000072,2025-09-02,product,P006,Maccabee,beer,2,0,46.0
SALE0000073,2025-09-02,product,P007,Stella Artois,beer,3,0,78.0
SALE0000074,2025-09-02,product,P008,Erdinger,beer,1,0,29.0
SALE0000075,2025-09-02,product,P009,Bombay Sapphire,gin,2,0,70
SALE0000076,2025-09-02,product,P010,Tanqueray,gin,2,0,80
SALE0000077,2025-09-02,product,P011,Hendrick's,gin,1,0,50
SALE0000078,2025-09-02,product,P012,Beefeater,gin,1,0,35
SALE0000079,2025-09-02,product,P013,Gordon's,gin,2,0,60
SALE0000080,2025-09-02,product,P014,Absolut,vodka,5,0,175
SALE0000081,2025-09-02,product,P015,Finlandia,vodka,2,0,60
SALE0000082,2025-09-02,product,P016,Grey Goose,vodka,3,0,180
SALE0000083,2025-09-02,product,P017,Belvedere,vodka,1,0,55
SALE0000084,2025-09-02,product,P018,Stolichnaya,vodka,1,0,30
SALE0000085,2025-09-02,product,P019,Jameson,whiskey,4,0,160
SALE0000086,2025-09-02,product,P020,Jack Daniel's,whiskey,6,0,240
SALE0000087,2025-09-02,product,P021,Johnnie Walker Black,whiskey,3,0,150
SALE0000088,2025-09-02,product,P022,Chivas Regal,whiskey,3,0,135
SALE0000089,2025-09-02,product,P023,Maker's Mark,whiskey,1,0,50
SALE0000090,2025-09-02,product,P024,Glenfiddich 12,whiskey,1,0,65
SALE0000091,2025-09-02,product,P025,Bacardi Carta Blanca,rum,3,0,90
SALE0000092,2025-09-02,product,P026,Havana Club 3,rum,2,0,70
SALE0000093,2025-09-02,product,P027,Captain Morgan,rum,1,0,35
SALE0000094,2025-09-02,product,P029,Jose Cuervo,tequila,3,0,105
SALE0000095,2025-09-02,product,P031,Patron Silver,tequila,2,0,140
SALE0000096,2025-09-02,product,P032,Don Julio Blanco,tequila,2,0,140
SALE0000097,2025-09-02,product,P033,Aperol,aperitif,2,0,60
SALE0000098,2025-09-02,product,P034,Campari,aperitif,1,0,35
SALE0000099,2025-09-02,product,P035,Cointreau,liqueur,1,0,45
SALE0000100,2025-09-02,product,P036,Kahlua,liqueur,1,0,40
SALE0000101,2025-09-02,product,P037,Martini Rosso,vermouth,1,0,25
SALE0000102,2025-09-02,product,P038,House Red Wine,wine,6,0,300
SALE0000103,2025-09-02,product,P039,House White Wine,wine,8,0,400
SALE0000104,2025-09-02,product,P040,Rose Wine,wine,5,0,250
SALE0000105,2025-09-02,product,P041,Prosecco,wine,3,0,165
SALE0000106,2025-09-02,product,P042,Chardonnay,wine,1,0,65
SALE0000107,2025-09-02,product,P043,Coca-Cola,soft_drink,12,0,168.0
SALE0000108,2025-09-02,product,P044,Coca-Cola Zero,soft_drink,7,0,98.0
SALE0000109,2025-09-02,product,P045,Sprite,soft_drink,7,0,98.0
SALE0000110,2025-09-02,product,P046,Tonic Water,soft_drink,3,0,42.0
SALE0000111,2025-09-02,product,P047,Soda Water,soft_drink,4,0,48.0
SALE0000112,2025-09-02,product,P048,Red Bull,soft_drink,6,0,120.0
SALE0000113,2025-09-02,product,P049,Ginger Beer,soft_drink,2,0,32.0
SALE0000114,2025-09-02,product,K001,Carlsberg 50L,draught_beer,61,0,1952
SALE0000115,2025-09-02,product,K002,Tuborg 50L,draught_beer,16,0,512
SALE0000116,2025-09-02,product,K003,Carlsberg 30L,draught_beer,53,0,1696
SALE0000117,2025-09-02,product,K004,Malka 30L,draught_beer,31,0,992
SALE0000118,2025-09-02,product,K005,Weihenstephan 30L,draught_beer,16,0,512
SALE0000119,2025-09-03,cocktail,C001,Aperol Spritz,cocktail,18,0,828
SALE0000120,2025-09-03,cocktail,C002,Margarita,cocktail,11,0,550
SALE0000121,2025-09-03,cocktail,C003,Negroni,cocktail,3,0,156
SALE0000122,2025-09-03,cocktail,C004,Mojito,cocktail,15,0,720
SALE0000123,2025-09-03,cocktail,C005,Espresso Martini,cocktail,10,0,540
SALE0000124,2025-09-03,cocktail,C006,Gin & Tonic,cocktail,11,0,462
SALE0000125,2025-09-03,cocktail,C007,Long Island Iced Tea,cocktail,6,0,348
SALE0000126,2025-09-03,product,P001,Carlsberg,beer,9,0,216.0
SALE0000127,2025-09-03,product,P002,Heineken,beer,10,0,250.0
SALE0000128,2025-09-03,product,P003,Corona,beer,6,0,162.0
SALE0000129,2025-09-03,product,P004,Guinness,beer,4,0,116.0
SALE0000130,2025-09-03,product,P005,Goldstar,beer,6,0,138.0
SALE0000131,2025-09-03,product,P006,Maccabee,beer,5,0,115.0
SALE0000132,2025-09-03,product,P007,Stella Artois,beer,5,0,130.0
SALE0000133,2025-09-03,product,P008,Erdinger,beer,2,0,58.0
SALE0000134,2025-09-03,product,P009,Bombay Sapphire,gin,4,0,140
SALE0000135,2025-09-03,product,P010,Tanqueray,gin,2,0,80
SALE0000136,2025-09-03,product,P011,Hendrick's,gin,3,0,150
SALE0000137,2025-09-03,product,P012,Beefeater,gin,2,0,70
SALE0000138,2025-09-03,product,P013,Gordon's,gin,6,0,180
SALE0000139,2025-09-03,product,P014,Absolut,vodka,6,0,210
SALE0000140,2025-09-03,product,P015,Finlandia,vodka,2,0,60
SALE0000141,2025-09-03,product,P016,Grey Goose,vodka,3,0,180
SALE0000142,2025-09-03,product,P017,Belvedere,vodka,1,0,55
SALE0000143,2025-09-03,product,P018,Stolichnaya,vodka,2,0,60
SALE0000144,2025-09-03,product,P019,Jameson,whiskey,3,0,120
SALE0000145,2025-09-03,product,P020,Jack Daniel's,whiskey,7,0,280
SALE0000146,2025-09-03,product,P021,Johnnie Walker Black,whiskey,3,0,150
SALE0000147,2025-09-03,product,P022,Chivas Regal,whiskey,3,0,135
SALE0000148,2025-09-03,product,P023,Maker's Mark,whiskey,2,0,100
SALE0000149,2025-09-03,product,P024,Glenfiddich 12,whiskey,1,0,65
SALE0000150,2025-09-03,product,P025,Bacardi Carta Blanca,rum,4,0,120
SALE0000151,2025-09-03,product,P026,Havana Club 3,rum,2,0,70
SALE0000152,2025-09-03,product,P027,Captain Morgan,rum,3,0,105
SALE0000153,2025-09-03,product,P028,Diplomatico Reserva,rum,1,0,60
SALE0000154,2025-09-03,product,P029,Jose Cuervo,tequila,3,0,105
SALE0000155,2025-09-03,product,P030,Olmeca Blanco,tequila,1,0,35
SALE0000156,2025-09-03,product,P031,Patron Silver,tequila,3,0,210
SALE0000157,2025-09-03,product,P032,Don Julio Blanco,tequila,2,0,140
SALE0000158,2025-09-03,product,P033,Aperol,aperitif,3,0,90
SALE0000159,2025-09-03,product,P034,Campari,aperitif,3,0,105
SALE0000160,2025-09-03,product,P035,Cointreau,liqueur,1,0,45
SALE0000161,2025-09-03,product,P036,Kahlua,liqueur,2,0,80
SALE0000162,2025-09-03,product,P038,House Red Wine,wine,7,0,350
SALE0000163,2025-09-03,product,P039,House White Wine,wine,9,0,450
SALE0000164,2025-09-03,product,P040,Rose Wine,wine,4,0,200
SALE0000165,2025-09-03,product,P041,Prosecco,wine,3,0,165
SALE0000166,2025-09-03,product,P042,Chardonnay,wine,4,0,260
SALE0000167,2025-09-03,product,P043,Coca-Cola,soft_drink,13,0,182.0
SALE0000168,2025-09-03,product,P044,Coca-Cola Zero,soft_drink,8,0,112.0
SALE0000169,2025-09-03,product,P045,Sprite,soft_drink,8,0,112.0
SALE0000170,2025-09-03,product,P046,Tonic Water,soft_drink,5,0,70.0
SALE0000171,2025-09-03,product,P047,Soda Water,soft_drink,5,0,60.0
SALE0000172,2025-09-03,product,P048,Red Bull,soft_drink,6,0,120.0
SALE0000173,2025-09-03,product,P049,Ginger Beer,soft_drink,3,0,48.0
SALE0000174,2025-09-03,product,K001,Carlsberg 50L,draught_beer,64,0,2048
SALE0000175,2025-09-03,product,K002,Tuborg 50L,draught_beer,44,0,1408
SALE0000176,2025-09-03,product,K003,Carlsberg 30L,draught_beer,65,0,2080
SALE0000177,2025-09-03,product,K004,Malka 30L,draught_beer,41,0,1312
SALE0000178,2025-09-03,product,K005,Weihenstephan 30L,draught_beer,28,0,896
SALE0000179,2025-09-04,cocktail,C001,Aperol Spritz,cocktail,19,0,874
SALE0000180,2025-09-04,cocktail,C002,Margarita,cocktail,16,0,800
SALE0000181,2025-09-04,cocktail,C003,Negroni,cocktail,10,0,520
SALE0000182,2025-09-04,cocktail,C004,Mojito,cocktail,19,0,912
SALE0000183,2025-09-04,cocktail,C005,Espresso Martini,cocktail,12,0,648
SALE0000184,2025-09-04,cocktail,C006,Gin & Tonic,cocktail,8,0,336
SALE0000185,2025-09-04,cocktail,C007,Long Island Iced Tea,cocktail,6,0,348
SALE0000186,2025-09-04,product,P001,Carlsberg,beer,8,0,192.0
SALE0000187,2025-09-04,product,P002,Heineken,beer,9,0,225.0
SALE0000188,2025-09-04,product,P003,Corona,beer,7,0,189.0
SALE0000189,2025-09-04,product,P004,Guinness,beer,5,0,145.0
SALE0000190,2025-09-04,product,P005,Goldstar,beer,8,0,184.0
SALE0000191,2025-09-04,product,P006,Maccabee,beer,4,0,92.0
SALE0000192,2025-09-04,product,P007,Stella Artois,beer,5,0,130.0
SALE0000193,2025-09-04,product,P008,Erdinger,beer,4,0,116.0
SALE0000194,2025-09-04,product,P009,Bombay Sapphire,gin,4,0,140
SALE0000195,2025-09-04,product,P010,Tanqueray,gin,2,0,80
SALE0000196,2025-09-04,product,P011,Hendrick's,gin,3,0,150
SALE0000197,2025-09-04,product,P012,Beefeater,gin,2,0,70
SALE0000198,2025-09-04,product,P013,Gordon's,gin,5,0,150
SALE0000199,2025-09-04,product,P014,Absolut,vodka,5,0,175
SALE0000200,2025-09-04,product,P015,Finlandia,vodka,3,0,90
SALE0000201,2025-09-04,product,P016,Grey Goose,vodka,4,0,240
SALE0000202,2025-09-04,product,P017,Belvedere,vodka,2,0,110
SALE0000203,2025-09-04,product,P018,Stolichnaya,vodka,3,0,90
SALE0000204,2025-09-04,product,P019,Jameson,whiskey,8,0,320
SALE0000205,2025-09-04,product,P020,Jack Daniel's,whiskey,7,0,280
SALE0000206,2025-09-04,product,P021,Johnnie Walker Black,whiskey,4,0,200
SALE0000207,2025-09-04,product,P022,Chivas Regal,whiskey,2,0,90
SALE0000208,2025-09-04,product,P023,Maker's Mark,whiskey,2,0,100
SALE0000209,2025-09-04,product,P024,Glenfiddich 12,whiskey,1,0,65
SALE0000210,2025-09-04,product,P025,Bacardi Carta Blanca,rum,4,0,120
SALE0000211,2025-09-04,product,P026,Havana Club 3,rum,3,0,105
SALE0000212,2025-09-04,product,P027,Captain Morgan,rum,3,0,105
SALE0000213,2025-09-04,product,P028,Diplomatico Reserva,rum,1,0,60
SALE0000214,2025-09-04,product,P029,Jose Cuervo,tequila,3,0,105
SALE0000215,2025-09-04,product,P030,Olmeca Blanco,tequila,2,0,70
SALE0000216,2025-09-04,product,P031,Patron Silver,tequila,3,0,210
SALE0000217,2025-09-04,product,P032,Don Julio Blanco,tequila,2,0,140
SALE0000218,2025-09-04,product,P033,Aperol,aperitif,2,0,60
SALE0000219,2025-09-04,product,P034,Campari,aperitif,3,0,105
SALE0000220,2025-09-04,product,P035,Cointreau,liqueur,1,0,45
SALE0000221,2025-09-04,product,P036,Kahlua,liqueur,2,0,80
SALE0000222,2025-09-04,product,P037,Martini Rosso,vermouth,1,0,25
SALE0000223,2025-09-04,product,P038,House Red Wine,wine,8,0,400
SALE0000224,2025-09-04,product,P039,House White Wine,wine,10,0,500
SALE0000225,2025-09-04,product,P040,Rose Wine,wine,4,0,200
SALE0000226,2025-09-04,product,P041,Prosecco,wine,4,0,220
SALE0000227,2025-09-04,product,P042,Chardonnay,wine,2,0,130
SALE0000228,2025-09-04,product,P043,Coca-Cola,soft_drink,14,0,196.0
SALE0000229,2025-09-04,product,P044,Coca-Cola Zero,soft_drink,4,0,56.0
SALE0000230,2025-09-04,product,P045,Sprite,soft_drink,9,0,126.0
SALE0000231,2025-09-04,product,P046,Tonic Water,soft_drink,5,0,70.0
SALE0000232,2025-09-04,product,P047,Soda Water,soft_drink,4,0,48.0
SALE0000233,2025-09-04,product,P048,Red Bull,soft_drink,5,0,100.0
SALE0000234,2025-09-04,product,P049,Ginger Beer,soft_drink,4,0,64.0
SALE0000235,2025-09-04,product,K001,Carlsberg 50L,draught_beer,42,0,1344
SALE0000236,2025-09-04,product,K002,Tuborg 50L,draught_beer,58,0,1856
SALE0000237,2025-09-04,product,K003,Carlsberg 30L,draught_beer,52,0,1664
SALE0000238,2025-09-04,product,K004,Malka 30L,draught_beer,53,0,1696
SALE0000239,2025-09-04,product,K005,Weihenstephan 30L,draught_beer,29,0,928
SALE0000240,2025-09-05,cocktail,C001,Aperol Spritz,cocktail,36,0,1656
SALE0000241,2025-09-05,cocktail,C002,Margarita,cocktail,18,0,900
SALE0000242,2025-09-05,cocktail,C003,Negroni,cocktail,7,0,364
SALE0000243,2025-09-05,cocktail,C004,Mojito,cocktail,23,0,1104
SALE0000244,2025-09-05,cocktail,C005,Espresso Martini,cocktail,16,0,864
SALE0000245,2025-09-05,cocktail,C006,Gin & Tonic,cocktail,16,0,672
SALE0000246,2025-09-05,cocktail,C007,Long Island Iced Tea,cocktail,6,0,348
SALE0000247,2025-09-05,product,P001,Carlsberg,beer,10,0,240.0
SALE0000248,2025-09-05,product,P002,Heineken,beer,12,0,300.0
SALE0000249,2025-09-05,product,P003,Corona,beer,10,0,270.0
SALE0000250,2025-09-05,product,P004,Guinness,beer,6,0,174.0
SALE0000251,2025-09-05,product,P005,Goldstar,beer,11,0,253.0
SALE0000252,2025-09-05,product,P006,Maccabee,beer,7,0,161.0
SALE0000253,2025-09-05,product,P007,Stella Artois,beer,6,0,156.0
SALE0000254,2025-09-05,product,P008,Erdinger,beer,3,0,87.0
SALE0000255,2025-09-05,product,P009,Bombay Sapphire,gin,7,0,245
SALE0000256,2025-09-05,product,P010,Tanqueray,gin,4,0,160
SALE0000257,2025-09-05,product,P011,Hendrick's,gin,4,0,200
SALE0000258,2025-09-05,product,P012,Beefeater,gin,3,0,105
SALE0000259,2025-09-05,product,P013,Gordon's,gin,7,0,210
SALE0000260,2025-09-05,product,P014,Absolut,vodka,11,0,385
SALE0000261,2025-09-05,product,P015,Finlandia,vodka,3,0,90
SALE0000262,2025-09-05,product,P016,Grey Goose,vodka,5,0,300
SALE0000263,2025-09-05,product,P017,Belvedere,vodka,3,0,165
SALE0000264,2025-09-05,product,P018,Stolichnaya,vodka,3,0,90
SALE0000265,2025-09-05,product,P019,Jameson,whiskey,8,0,320
SALE0000266,2025-09-05,product,P020,Jack Daniel's,whiskey,11,0,440
SALE0000267,2025-09-05,product,P021,Johnnie Walker Black,whiskey,6,0,300
SALE0000268,2025-09-05,product,P022,Chivas Regal,whiskey,4,0,180
SALE0000269,2025-09-05,product,P023,Maker's Mark,whiskey,3,0,150
SALE0000270,2025-09-05,product,P024,Glenfiddich 12,whiskey,3,0,195
SALE0000271,2025-09-05,product,P025,Bacardi Carta Blanca,rum,5,0,150
SALE0000272,2025-09-05,product,P026,Havana Club 3,rum,4,0,140
SALE0000273,2025-09-05,product,P027,Captain Morgan,rum,5,0,175
SALE0000274,2025-09-05,product,P028,Diplomatico Reserva,rum,2,0,120
SALE0000275,2025-09-05,product,P029,Jose Cuervo,tequila,4,0,140
SALE0000276,2025-09-05,product,P030,Olmeca Blanco,tequila,2,0,70
SALE0000277,2025-09-05,product,P031,Patron Silver,tequila,4,0,280
SALE0000278,2025-09-05,product,P032,Don Julio Blanco,tequila,2,0,140
SALE0000279,2025-09-05,product,P033,Aperol,aperitif,3,0,90
SALE0000280,2025-09-05,product,P034,Campari,aperitif,3,0,105
SALE0000281,2025-09-05,product,P035,Cointreau,liqueur,1,0,45
SALE0000282,2025-09-05,product,P036,Kahlua,liqueur,2,0,80
SALE0000283,2025-09-05,product,P037,Martini Rosso,vermouth,1,0,25
SALE0000284,2025-09-05,product,P038,House Red Wine,wine,8,0,400
SALE0000285,2025-09-05,product,P039,House White Wine,wine,14,0,700
SALE0000286,2025-09-05,product,P040,Rose Wine,wine,8,0,400
SALE0000287,2025-09-05,product,P041,Prosecco,wine,6,0,330
SALE0000288,2025-09-05,product,P042,Chardonnay,wine,3,0,195
SALE0000289,2025-09-05,product,P043,Coca-Cola,soft_drink,24,0,336.0
SALE0000290,2025-09-05,product,P044,Coca-Cola Zero,soft_drink,11,0,154.0
SALE0000291,2025-09-05,product,P045,Sprite,soft_drink,11,0,154.0
SALE0000292,2025-09-05,product,P046,Tonic Water,soft_drink,10,0,140.0
SALE0000293,2025-09-05,product,P047,Soda Water,soft_drink,5,0,60.0
SALE0000294,2025-09-05,product,P048,Red Bull,soft_drink,8,0,160.0
SALE0000295,2025-09-05,product,P049,Ginger Beer,soft_drink,4,0,64.0
SALE0000296,2025-09-05,product,K001,Carlsberg 50L,draught_beer,87,0,2784
SALE0000297,2025-09-05,product,K002,Tuborg 50L,draught_beer,56,0,1792
SALE0000298,2025-09-05,product,K003,Carlsberg 30L,draught_beer,71,0,2272
SALE0000299,2025-09-05,product,K004,Malka 30L,draught_beer,62,0,1984
SALE0000300,2025-09-05,product,K005,Weihenstephan 30L,draught_beer,43,0,1376
SALE0000301,2025-09-06,cocktail,C001,Aperol Spritz,cocktail,29,0,1334
SALE0000302,2025-09-06,cocktail,C002,Margarita,cocktail,20,0,1000
SALE0000303,2025-09-06,cocktail,C003,Negroni,cocktail,12,0,624
SALE0000304,2025-09-06,cocktail,C004,Mojito,cocktail,30,0,1440
SALE0000305,2025-09-06,cocktail,C005,Espresso Martini,cocktail,18,0,972
SALE0000306,2025-09-06,cocktail,C006,Gin & Tonic,cocktail,15,0,630
SALE0000307,2025-09-06,cocktail,C007,Long Island Iced Tea,cocktail,11,0,638
SALE0000308,2025-09-06,product,P001,Carlsberg,beer,13,0,312.0
SALE0000309,2025-09-06,product,P002,Heineken,beer,14,0,350.0
SALE0000310,2025-09-06,product,P003,Corona,beer,12,0,324.0
SALE0000311,2025-09-06,product,P004,Guinness,beer,5,0,145.0
SALE0000312,2025-09-06,product,P005,Goldstar,beer,17,0,391.0
SALE0000313,2025-09-06,product,P006,Maccabee,beer,9,0,207.0
SALE0000314,2025-09-06,product,P007,Stella Artois,beer,11,0,286.0
SALE0000315,2025-09-06,product,P008,Erdinger,beer,4,0,116.0
SALE0000316,2025-09-06,product,P009,Bombay Sapphire,gin,5,0,175
SALE0000317,2025-09-06,product,P010,Tanqueray,gin,5,0,200
SALE0000318,2025-09-06,product,P011,Hendrick's,gin,5,0,250
SALE0000319,2025-09-06,product,P012,Beefeater,gin,4,0,140
SALE0000320,2025-09-06,product,P013,Gordon's,gin,7,0,210
SALE0000321,2025-09-06,product,P014,Absolut,vodka,11,0,385
SALE0000322,2025-09-06,product,P015,Finlandia,vodka,4,0,120
SALE0000323,2025-09-06,product,P016,Grey Goose,vodka,5,0,300
SALE0000324,2025-09-06,product,P017,Belvedere,vodka,3,0,165
SALE0000325,2025-09-06,product,P018,Stolichnaya,vodka,3,0,90
SALE0000326,2025-09-06,product,P019,Jameson,whiskey,10,0,400
SALE0000327,2025-09-06,product,P020,Jack Daniel's,whiskey,10,0,400
SALE0000328,2025-09-06,product,P021,Johnnie Walker Black,whiskey,7,0,350
SALE0000329,2025-09-06,product,P022,Chivas Regal,whiskey,5,0,225
SALE0000330,2025-09-06,product,P023,Maker's Mark,whiskey,3,0,150
SALE0000331,2025-09-06,product,P024,Glenfiddich 12,whiskey,3,0,195
SALE0000332,2025-09-06,product,P025,Bacardi Carta Blanca,rum,6,0,180
SALE0000333,2025-09-06,product,P026,Havana Club 3,rum,4,0,140
SALE0000334,2025-09-06,product,P027,Captain Morgan,rum,5,0,175
SALE0000335,2025-09-06,product,P028,Diplomatico Reserva,rum,2,0,120
SALE0000336,2025-09-06,product,P029,Jose Cuervo,tequila,5,0,175
SALE0000337,2025-09-06,product,P030,Olmeca Blanco,tequila,3,0,105
SALE0000338,2025-09-06,product,P031,Patron Silver,tequila,5,0,350
SALE0000339,2025-09-06,product,P032,Don Julio Blanco,tequila,3,0,210
SALE0000340,2025-09-06,product,P033,Aperol,aperitif,6,0,180
SALE0000341,2025-09-06,product,P034,Campari,aperitif,5,0,175
SALE0000342,2025-09-06,product,P035,Cointreau,liqueur,1,0,45
SALE0000343,2025-09-06,product,P036,Kahlua,liqueur,2,0,80
SALE0000344,2025-09-06,product,P037,Martini Rosso,vermouth,2,0,50
SALE0000345,2025-09-06,product,P038,House Red Wine,wine,14,0,700
SALE0000346,2025-09-06,product,P039,House White Wine,wine,19,0,950
SALE0000347,2025-09-06,product,P040,Rose Wine,wine,9,0,450
SALE0000348,2025-09-06,product,P041,Prosecco,wine,8,0,440
SALE0000349,2025-09-06,product,P042,Chardonnay,wine,4,0,260
SALE0000350,2025-09-06,product,P043,Coca-Cola,soft_drink,20,0,280.0
SALE0000351,2025-09-06,product,P044,Coca-Cola Zero,soft_drink,14,0,196.0
SALE0000352,2025-09-06,product,P045,Sprite,soft_drink,9,0,126.0
SALE0000353,2025-09-06,product,P046,Tonic Water,soft_drink,10,0,140.0
SALE0000354,2025-09-06,product,P047,Soda Water,soft_drink,6,0,72.0
SALE0000355,2025-09-06,product,P048,Red Bull,soft_drink,12,0,240.0
SALE0000356,2025-09-06,product,P049,Ginger Beer,soft_drink,5,0,80.0
SALE0000357,2025-09-06,product,K001,Carlsberg 50L,draught_beer,79,0,2528
SALE0000358,2025-09-06,product,K002,Tuborg 50L,draught_beer,68,0,2176
SALE0000359,2025-09-06,product,K003,Carlsberg 30L,draught_beer,79,0,2528
SALE0000360,2025-09-06,product,K004,Malka 30L,draught_beer,71,0,2272
SALE0000361,2025-09-06,product,K005,Weihenstephan 30L,draught_beer,53,0,1696
SALE0000362,2025-09-07,cocktail,C001,Aperol Spritz,cocktail,14,0,644
SALE0000363,2025-09-07,cocktail,C002,Margarita,cocktail,5,0,250
SALE0000364,2025-09-07,cocktail,C003,Negroni,cocktail,4,0,208
SALE0000365,2025-09-07,cocktail,C004,Mojito,cocktail,12,0,576
SALE0000366,2025-09-07,cocktail,C005,Espresso Martini,cocktail,6,0,324
SALE0000367,2025-09-07,cocktail,C006,Gin & Tonic,cocktail,4,0,168
SALE0000368,2025-09-07,cocktail,C007,Long Island Iced Tea,cocktail,2,0,116
SALE0000369,2025-09-07,product,P001,Carlsberg,beer,6,0,144.0
