date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,source
2025-09-28,29.3,18.7,0.0,18.0,Open-Meteo ERA5 archive
2025-09-29,29.1,20.7,0.0,17.8,Open-Meteo ERA5 archive
2025-09-30,29.1,21.0,0.1,17.6,Open-Meteo ERA5 archive
2025-10-01,28.3,21.4,0.0,17.4,Open-Meteo ERA5 archive
2025-10-02,29.2,20.1,0.0,15.7,Open-Meteo ERA5 archive
2025-10-03,36.5,20.5,0.0,15.9,Open-Meteo ERA5 archive
2025-10-04,30.0,22.6,0.0,20.7,Open-Meteo ERA5 archive
2025-10-05,28.5,23.1,0.0,19.2,Open-Meteo ERA5 archive
2025-10-06,27.7,23.4,0.0,18.5,Open-Meteo ERA5 archive
2025-10-07,28.2,19.6,0.0,17.0,Open-Meteo ERA5 archive
2025-10-08,30.5,19.1,0.0,17.8,Open-Meteo ERA5 archive
2025-10-09,27.0,18.7,6.2,16.3,Open-Meteo ERA5 archive
2025-10-10,27.1,17.7,0.2,19.0,Open-Meteo ERA5 archive
2025-10-11,27.2,18.0,0.0,20.7,Open-Meteo ERA5 archive
2025-10-12,26.8,19.6,0.1,19.4,Open-Meteo ERA5 archive
2025-10-13,27.2,19.0,0.0,18.2,Open-Meteo ERA5 archive
2025-10-14,26.3,15.0,0.0,18.4,Open-Meteo ERA5 archive
2025-10-15,27.0,16.2,0.0,15.8,Open-Meteo ERA5 archive
2025-10-16,27.4,17.9,0.0,17.9,Open-Meteo ERA5 archive
2025-10-17,27.3,17.6,0.0,15.4,Open-Meteo ERA5 archive
2025-10-18,26.4,18.5,0.0,15.0,Open-Meteo ERA5 archive
2025-10-19,26.8,18.0,0.0,13.9,Open-Meteo ERA5 archive
2025-10-20,27.8,18.7,0.0,15.0,Open-Meteo ERA5 archive
2025-10-21,29.5,17.3,0.0,20.7,Open-Meteo ERA5 archive
2025-10-22,32.7,17.3,0.0,21.6,Open-Meteo ERA5 archive
2025-10-23,31.7,17.1,0.0,12.7,Open-Meteo ERA5 archive
2025-10-24,28.3,20.4,0.0,14.1,Open-Meteo ERA5 archive
2025-10-25,27.9,17.4,0.0,15.5,Open-Meteo ERA5 archive
2025-10-26,27.4,17.1,0.0,17.6,Open-Meteo ERA5 archive
2025-10-27,27.1,18.1,0.0,16.5,Open-Meteo ERA5 archive
2025-10-28,27.2,16.4,0.0,16.2,Open-Meteo ERA5 archive
2025-10-29,26.4,17.4,0.0,15.5,Open-Meteo ERA5 archive
2025-10-30,28.2,17.5,0.0,24.7,Open-Meteo ERA5 archive
2025-10-31,34.1,19.9,0.0,18.0,Open-Meteo ERA5 archive
2025-11-01,33.0,19.5,0.0,24.8,Open-Meteo ERA5 archive
2025-11-02,29.1,18.9,0.0,10.5,Open-Meteo ERA5 archive
2025-11-03,28.6,18.4,0.0,13.5,Open-Meteo ERA5 archive
2025-11-04,34.8,23.1,0.0,18.3,Open-Meteo ERA5 archive
2025-11-05,33.4,21.4,0.0,11.7,Open-Meteo ERA5 archive
2025-11-06,28.2,18.7,0.0,14.9,Open-Meteo ERA5 archive
2025-11-07,26.9,18.2,0.0,13.2,Open-Meteo ERA5 archive
2025-11-08,26.5,17.8,0.0,19.5,Open-Meteo ERA5 archive
2025-11-09,32.3,17.1,0.0,14.5,Open-Meteo ERA5 archive
2025-11-10,27.1,17.1,0.0,10.6,Open-Meteo ERA5 archive
2025-11-11,26.1,17.8,0.2,16.2,Open-Meteo ERA5 archive
2025-11-12,25.7,17.3,0.0,13.7,Open-Meteo ERA5 archive
2025-11-13,23.2,17.4,4.6,13.3,Open-Meteo ERA5 archive
2025-11-14,19.2,15.1,12.1,21.1,Open-Meteo ERA5 archive
2025-11-15,23.1,14.9,8.0,24.9,Open-Meteo ERA5 archive
2025-11-16,23.2,15.0,1.4,16.8,Open-Meteo ERA5 archive
2025-11-17,25.2,14.8,0.0,18.3,Open-Meteo ERA5 archive
2025-11-18,27.2,17.1,0.0,19.7,Open-Meteo ERA5 archive
2025-11-19,28.3,18.9,0.0,20.3,Open-Meteo ERA5 archive
2025-11-20,32.3,18.7,0.0,14.6,Open-Meteo ERA5 archive
2025-11-21,35.2,19.7,0.0,18.3,Open-Meteo ERA5 archive
2025-11-22,33.7,21.0,0.0,21.5,Open-Meteo ERA5 archive
2025-11-23,32.4,24.0,0.0,21.7,Open-Meteo ERA5 archive
2025-11-24,29.0,19.6,0.1,15.0,Open-Meteo ERA5 archive
2025-11-25,22.8,16.0,6.6,16.6,Open-Meteo ERA5 archive
2025-11-26,23.6,14.4,0.1,13.1,Open-Meteo ERA5 archive
2025-11-27,27.6,16.1,0.0,13.6,Open-Meteo ERA5 archive
2025-11-28,27.7,16.4,0.0,11.1,Open-Meteo ERA5 archive
2025-11-29,24.6,15.9,0.0,8.7,Open-Meteo ERA5 archive
2025-11-30,23.2,16.2,0.7,21.5,Open-Meteo ERA5 archive
2025-12-01,22.3,15.1,0.5,17.5,Open-Meteo ERA5 archive
2025-12-02,22.0,13.5,0.0,14.1,Open-Meteo ERA5 archive
2025-12-03,25.0,12.3,0.0,15.0,Open-Meteo ERA5 archive
2025-12-04,26.7,15.6,0.0,14.5,Open-Meteo ERA5 archive
2025-12-05,30.4,15.3,0.3,16.1,Open-Meteo ERA5 archive
2025-12-06,24.7,15.9,4.2,15.8,Open-Meteo ERA5 archive
2025-12-07,20.8,15.0,0.0,23.5,Open-Meteo ERA5 archive
2025-12-08,20.6,12.9,3.3,21.5,Open-Meteo ERA5 archive
2025-12-09,19.3,11.8,4.2,18.7,Open-Meteo ERA5 archive
2025-12-10,18.1,12.9,18.8,24.5,Open-Meteo ERA5 archive
2025-12-11,16.3,12.7,19.5,20.5,Open-Meteo ERA5 archive
2025-12-12,19.4,12.8,2.2,21.0,Open-Meteo ERA5 archive
2025-12-13,19.8,11.7,0.8,10.3,Open-Meteo ERA5 archive
2025-12-14,20.3,11.7,0.0,9.7,Open-Meteo ERA5 archive
2025-12-15,18.2,10.9,8.6,16.0,Open-Meteo ERA5 archive
2025-12-16,18.2,11.4,2.3,20.6,Open-Meteo ERA5 archive
2025-12-17,16.8,8.9,2.2,16.0,Open-Meteo ERA5 archive
2025-12-18,18.8,5.9,0.0,8.9,Open-Meteo ERA5 archive
2025-12-19,20.0,10.3,0.1,15.7,Open-Meteo ERA5 archive
2025-12-20,20.7,13.0,0.0,10.4,Open-Meteo ERA5 archive
2025-12-21,21.3,11.6,0.0,12.2,Open-Meteo ERA5 archive
2025-12-22,22.4,10.9,0.0,12.1,Open-Meteo ERA5 archive
2025-12-23,19.5,12.2,3.5,17.0,Open-Meteo ERA5 archive
2025-12-24,20.6,12.9,0.3,14.4,Open-Meteo ERA5 archive
2025-12-25,22.1,11.9,0.0,16.1,Open-Meteo ERA5 archive
2025-12-26,19.1,9.0,0.8,9.9,Open-Meteo ERA5 archive
2025-12-27,18.8,12.6,38.6,23.1,Open-Meteo ERA5 archive
2025-12-28,16.4,12.2,5.1,33.3,Open-Meteo ERA5 archive
2025-12-29,19.1,13.2,20.1,34.6,Open-Meteo ERA5 archive
2025-12-30,18.4,13.0,1.2,18.2,Open-Meteo ERA5 archive
2025-12-31,18.7,13.1,0.1,27.6,Open-Meteo ERA5 archive
2026-01-01,16.1,13.1,34.8,23.4,Open-Meteo ERA5 archive
2026-01-02,17.6,10.3,11.7,20.3,Open-Meteo ERA5 archive
2026-01-03,16.9,8.6,0.0,13.5,Open-Meteo ERA5 archive
2026-01-04,19.6,8.7,0.0,19.9,Open-Meteo ERA5 archive
2026-01-05,22.1,13.5,0.0,19.6,Open-Meteo ERA5 archive
2026-01-06,21.0,11.5,0.0,6.9,Open-Meteo ERA5 archive
2026-01-07,21.7,8.5,0.0,8.9,Open-Meteo ERA5 archive
2026-01-08,24.0,12.6,0.0,10.2,Open-Meteo ERA5 archive
2026-01-09,18.9,14.4,11.9,39.6,Open-Meteo ERA5 archive
2026-01-10,19.2,13.6,0.2,30.6,Open-Meteo ERA5 archive
2026-01-11,19.4,10.5,0.0,12.0,Open-Meteo ERA5 archive
2026-01-12,18.2,11.4,1.5,35.5,Open-Meteo ERA5 archive
2026-01-13,16.0,10.8,37.0,42.2,Open-Meteo ERA5 archive
2026-01-14,16.7,13.3,0.4,24.0,Open-Meteo ERA5 archive
2026-01-15,17.2,8.5,0.0,10.8,Open-Meteo ERA5 archive
2026-01-16,17.9,8.0,0.0,12.9,Open-Meteo ERA5 archive
2026-01-17,18.2,8.2,0.0,10.3,Open-Meteo ERA5 archive
2026-01-18,16.5,10.9,14.6,15.3,Open-Meteo ERA5 archive
2026-01-19,15.3,9.0,1.7,16.2,Open-Meteo ERA5 archive
2026-01-20,14.6,7.4,0.0,14.8,Open-Meteo ERA5 archive
2026-01-21,16.3,5.1,0.0,22.7,Open-Meteo ERA5 archive
2026-01-22,19.1,13.5,0.0,25.8,Open-Meteo ERA5 archive
2026-01-23,20.4,11.7,0.4,20.3,Open-Meteo ERA5 archive
2026-01-24,17.6,10.5,2.7,12.4,Open-Meteo ERA5 archive
2026-01-25,19.6,8.4,0.0,12.0,Open-Meteo ERA5 archive
2026-01-26,22.9,12.6,0.0,12.6,Open-Meteo ERA5 archive
2026-01-27,19.4,12.7,0.4,15.9,Open-Meteo ERA5 archive
2026-01-28,16.2,12.0,21.1,30.5,Open-Meteo ERA5 archive
2026-01-29,18.2,12.1,1.3,15.5,Open-Meteo ERA5 archive
2026-01-30,21.2,13.5,0.0,24.1,Open-Meteo ERA5 archive
2026-01-31,22.8,13.5,0.1,15.9,Open-Meteo ERA5 archive
2026-02-01,25.9,15.4,0.0,15.3,Open-Meteo ERA5 archive
2026-02-02,22.1,15.0,0.0,20.7,Open-Meteo ERA5 archive
2026-02-03,18.4,13.6,16.9,27.9,Open-Meteo ERA5 archive
2026-02-04,18.6,11.9,0.0,18.6,Open-Meteo ERA5 archive
2026-02-05,20.3,9.1,0.0,10.4,Open-Meteo ERA5 archive
2026-02-06,22.4,13.2,0.0,13.1,Open-Meteo ERA5 archive
2026-02-07,21.5,14.6,0.0,20.0,Open-Meteo ERA5 archive
2026-02-08,25.0,14.4,0.0,16.9,Open-Meteo ERA5 archive
2026-02-09,21.9,14.9,0.0,12.1,Open-Meteo ERA5 archive
2026-02-10,19.9,14.1,0.0,21.2,Open-Meteo ERA5 archive
2026-02-11,19.4,13.6,1.6,23.3,Open-Meteo ERA5 archive
2026-02-12,22.7,13.7,0.1,19.2,Open-Meteo ERA5 archive
2026-02-13,27.2,16.5,0.2,30.6,Open-Meteo ERA5 archive
2026-02-14,19.3,13.6,2.7,32.6,Open-Meteo ERA5 archive
2026-02-15,23.9,10.9,0.0,15.8,Open-Meteo ERA5 archive
2026-02-16,27.9,13.7,0.0,13.3,Open-Meteo ERA5 archive
2026-02-17,20.0,13.9,0.2,16.9,Open-Meteo ERA5 archive
2026-02-18,20.4,13.2,0.2,29.9,Open-Meteo ERA5 archive
2026-02-19,18.7,11.5,0.3,23.1,Open-Meteo ERA5 archive
2026-02-20,24.7,10.1,0.0,13.5,Open-Meteo ERA5 archive
2026-02-21,21.1,12.1,0.0,19.3,Open-Meteo ERA5 archive
2026-02-22,19.1,12.8,1.4,15.5,Open-Meteo ERA5 archive
2026-02-23,17.0,11.2,6.2,16.9,Open-Meteo ERA5 archive
2026-02-24,17.9,10.6,4.1,15.3,Open-Meteo ERA5 archive
2026-02-25,18.2,11.8,0.4,18.7,Open-Meteo ERA5 archive
2026-02-26,18.2,12.7,1.7,30.7,Open-Meteo ERA5 archive
2026-02-27,16.6,8.9,0.0,22.8,Open-Meteo ERA5 archive
2026-02-28,15.2,6.8,0.0,12.3,Open-Meteo ERA5 archive
2026-03-01,15.8,6.1,0.1,16.1,Open-Meteo ERA5 archive
2026-03-02,18.2,6.3,0.0,25.0,Open-Meteo ERA5 archive
2026-03-03,19.5,8.1,0.0,18.2,Open-Meteo ERA5 archive
2026-03-04,18.7,7.9,0.1,15.9,Open-Meteo ERA5 archive
2026-03-05,18.6,8.7,0.2,18.2,Open-Meteo ERA5 archive
2026-03-06,18.1,6.1,0.0,16.1,Open-Meteo ERA5 archive
2026-03-07,18.0,9.4,0.6,17.1,Open-Meteo ERA5 archive
2026-03-08,17.4,6.2,0.0,21.0,Open-Meteo ERA5 archive
2026-03-09,17.6,6.6,0.0,16.6,Open-Meteo ERA5 archive
2026-03-10,21.4,6.8,0.0,27.6,Open-Meteo ERA5 archive
2026-03-11,23.8,11.9,0.0,25.3,Open-Meteo ERA5 archive
2026-03-12,21.0,10.2,0.0,16.2,Open-Meteo ERA5 archive
2026-03-13,19.9,10.5,0.6,18.7,Open-Meteo ERA5 archive
2026-03-14,28.0,16.1,5.5,34.7,Open-Meteo ERA5 archive
2026-03-15,18.4,15.0,1.2,29.6,Open-Meteo ERA5 archive
2026-03-16,19.2,12.0,7.1,18.9,Open-Meteo ERA5 archive
2026-03-17,21.7,9.6,0.0,20.0,Open-Meteo ERA5 archive
2026-03-18,30.2,12.7,0.1,22.5,Open-Meteo ERA5 archive
2026-03-19,21.4,14.2,11.8,25.0,Open-Meteo ERA5 archive
2026-03-20,20.8,13.7,12.1,25.5,Open-Meteo ERA5 archive
2026-03-21,16.0,11.4,38.7,25.8,Open-Meteo ERA5 archive
2026-03-22,17.0,10.1,2.2,18.9,Open-Meteo ERA5 archive
2026-03-23,19.2,11.0,0.2,13.6,Open-Meteo ERA5 archive
2026-03-24,18.3,9.2,1.1,13.1,Open-Meteo ERA5 archive
2026-03-25,17.6,9.9,3.7,12.6,Open-Meteo ERA5 archive
2026-03-26,16.8,10.2,21.2,19.4,Open-Meteo ERA5 archive
2026-03-27,18.9,11.4,6.6,23.0,Open-Meteo ERA5 archive
2026-03-28,22.5,11.7,0.0,13.2,Open-Meteo ERA5 archive
2026-03-29,19.5,14.6,6.2,25.8,Open-Meteo ERA5 archive
2026-03-30,18.7,14.1,1.5,20.0,Open-Meteo ERA5 archive
2026-03-31,20.0,12.5,1.1,13.3,Open-Meteo ERA5 archive
2026-04-01,25.0,13.2,5.7,19.6,Open-Meteo ERA5 archive
2026-04-02,24.7,17.2,7.6,35.4,Open-Meteo ERA5 archive
2026-04-03,21.6,13.2,0.0,15.9,Open-Meteo ERA5 archive
2026-04-04,21.9,10.7,0.0,16.6,Open-Meteo ERA5 archive
2026-04-05,19.5,12.5,2.2,18.2,Open-Meteo ERA5 archive
2026-04-06,19.8,10.8,0.9,17.1,Open-Meteo ERA5 archive
2026-04-07,17.7,10.7,12.2,11.7,Open-Meteo ERA5 archive
2026-04-08,19.9,12.4,0.8,18.0,Open-Meteo ERA5 archive
2026-04-09,20.4,13.0,0.8,20.7,Open-Meteo ERA5 archive
2026-04-10,21.0,13.4,0.8,19.7,Open-Meteo ERA5 archive
2026-04-11,20.1,12.0,2.5,16.8,Open-Meteo ERA5 archive
2026-04-12,20.2,12.1,0.8,21.3,Open-Meteo ERA5 archive
2026-04-13,20.8,13.1,0.6,15.7,Open-Meteo ERA5 archive
2026-04-14,27.9,8.9,0.0,15.9,Open-Meteo ERA5 archive
2026-04-15,33.8,17.8,0.0,15.0,Open-Meteo ERA5 archive
2026-04-16,34.8,24.2,0.0,23.4,Open-Meteo ERA5 archive
2026-04-17,32.2,18.7,3.0,27.5,Open-Meteo ERA5 archive
2026-04-18,25.6,17.0,0.0,32.9,Open-Meteo ERA5 archive
2026-04-19,22.2,16.3,0.2,19.8,Open-Meteo ERA5 archive
2026-04-20,20.8,15.9,1.0,20.5,Open-Meteo ERA5 archive
2026-04-21,21.4,13.7,0.2,17.2,Open-Meteo ERA5 archive
2026-04-22,21.3,9.6,0.0,17.7,Open-Meteo ERA5 archive
2026-04-23,22.0,9.7,0.0,18.0,Open-Meteo ERA5 archive
2026-04-24,22.8,10.5,0.0,20.0,Open-Meteo ERA5 archive
2026-04-25,26.0,12.3,0.0,14.0,Open-Meteo ERA5 archive
2026-04-26,26.4,13.9,0.2,22.1,Open-Meteo ERA5 archive
2026-04-27,22.2,13.0,0.3,17.8,Open-Meteo ERA5 archive
2026-04-28,22.7,14.8,0.1,17.2,Open-Meteo ERA5 archive
2026-04-29,23.3,13.0,0.0,17.0,Open-Meteo ERA5 archive
2026-04-30,22.8,13.0,0.0,18.4,Open-Meteo ERA5 archive
2026-05-01,22.2,14.8,0.0,17.0,Open-Meteo ERA5 archive
2026-05-02,25.5,11.8,0.0,16.3,Open-Meteo ERA5 archive
2026-05-03,24.3,16.8,1.4,26.8,Open-Meteo ERA5 archive
2026-05-04,20.2,16.2,3.1,30.0,Open-Meteo ERA5 archive
2026-05-05,21.1,16.4,1.1,27.7,Open-Meteo ERA5 archive
2026-05-06,21.4,13.9,0.2,15.1,Open-Meteo ERA5 archive
2026-05-07,22.3,10.5,0.0,24.4,Open-Meteo ERA5 archive
2026-05-08,24.5,13.3,0.0,22.5,Open-Meteo ERA5 archive
2026-05-09,26.5,15.0,0.0,22.2,Open-Meteo ERA5 archive
2026-05-10,25.2,13.7,0.0,14.5,Open-Meteo ERA5 archive
2026-05-11,25.2,14.5,0.0,15.0,Open-Meteo ERA5 archive
2026-05-12,30.0,14.4,0.0,16.1,Open-Meteo ERA5 archive
2026-05-13,25.2,18.6,0.0,18.6,Open-Meteo ERA5 archive
2026-05-14,31.4,18.1,0.0,14.9,Open-Meteo ERA5 archive
2026-05-15,23.9,18.9,0.0,15.8,Open-Meteo ERA5 archive
2026-05-16,23.8,18.5,0.0,19.9,Open-Meteo ERA5 archive
2026-05-17,31.0,16.5,0.0,11.5,Open-Meteo ERA5 archive
2026-05-18,27.9,21.4,0.1,16.4,Open-Meteo ERA5 archive
2026-05-19,25.3,19.5,0.0,15.1,Open-Meteo ERA5 archive
2026-05-20,24.4,18.7,0.2,22.6,Open-Meteo ERA5 archive
2026-05-21,23.0,18.9,2.7,26.8,Open-Meteo ERA5 archive
2026-05-22,24.6,17.6,0.7,19.3,Open-Meteo ERA5 archive
2026-05-23,25.0,15.5,0.0,17.1,Open-Meteo ERA5 archive
2026-05-24,24.3,16.1,0.0,16.4,Open-Meteo ERA5 archive
2026-05-25,24.2,15.0,0.0,20.0,Open-Meteo ERA5 archive
2026-05-26,24.5,16.8,0.0,20.4,Open-Meteo ERA5 archive
2026-05-27,25.1,17.1,0.0,16.0,Open-Meteo ERA5 archive
2026-05-28,24.9,18.7,0.1,19.2,Open-Meteo ERA5 archive
2026-05-29,25.6,18.1,0.1,19.8,Open-Meteo ERA5 archive
2026-05-30,26.1,19.0,0.0,18.3,Open-Meteo ERA5 archive
2026-05-31,25.9,18.0,0.0,16.2,Open-Meteo ERA5 archive
2026-06-01,25.4,17.3,0.0,17.6,Open-Meteo ERA5 archive
2026-06-02,26.2,17.3,0.0,18.3,Open-Meteo ERA5 archive
2026-06-03,27.9,17.1,0.0,18.6,Open-Meteo ERA5 archive
2026-06-04,28.7,18.9,0.0,16.4,Open-Meteo ERA5 archive
2026-06-05,27.4,17.5,0.0,17.0,Open-Meteo ERA5 archive
2026-06-06,28.6,17.2,0.0,15.5,Open-Meteo ERA5 archive
2026-06-07,26.7,18.1,0.0,16.4,Open-Meteo ERA5 archive
2026-06-08,27.2,18.8,0.0,17.6,Open-Meteo ERA5 archive
2026-06-09,28.4,18.8,0.0,15.9,Open-Meteo ERA5 archive
2026-06-10,28.0,18.1,0.0,17.2,Open-Meteo ERA5 archive
2026-06-11,27.3,20.0,0.0,17.2,Open-Meteo ERA5 archive
2026-06-12,27.6,20.3,0.0,18.5,Open-Meteo ERA5 archive
2026-06-13,27.9,20.1,0.2,19.3,Open-Meteo ERA5 archive
2026-06-14,27.8,19.2,0.0,17.2,Open-Meteo ERA5 archive
2026-06-15,27.5,20.1,0.1,17.1,Open-Meteo ERA5 archive
2026-06-16,28.0,18.7,0.0,20.7,Open-Meteo ERA5 archive
2026-06-17,28.1,19.8,0.0,18.2,Open-Meteo ERA5 archive
2026-06-18,28.2,21.2,0.0,18.3,Open-Meteo ERA5 archive
2026-06-19,27.5,18.5,0.0,18.8,Open-Meteo ERA5 archive
2026-06-20,27.8,18.7,0.0,18.6,Open-Meteo ERA5 archive
