product_id,name,name_he,category,unit,volume_ml,unit_cost,unit_price,station,supplier_id,case_size,is_draught,safety_stock
P031,Patron Silver,פטרון סילבר,tequila,bottle,700,160.0,450,inside,SUP01,12,0,2
P032,Don Julio Blanco,דון חוליו,tequila,bottle,700,180.0,480,both,SUP01,12,0,2
P033,Aperol,אפרול,aperitif,bottle,700,62.0,210,outside,SUP01,12,0,2
P034,Campari,קמפרי,aperitif,bottle,700,70.0,220,both,SUP01,12,0,2
P035,Cointreau,קוואנטרו,liqueur,bottle,700,95.0,290,both,SUP01,12,0,1
P036,Kahlua,קלואה,liqueur,bottle,700,75.0,250,both,SUP01,12,0,1
P037,Martini Rosso,מרטיני רוסו,vermouth,bottle,700,45.0,170,inside,SUP01,12,0,1
P038,House Red Wine,יין אדום הבית,wine,bottle,750,38.0,140,both,SUP01,12,0,3
P039,House White Wine,יין לבן הבית,wine,bottle,750,38.0,140,both,SUP01,12,0,3
P040,Rose Wine,יין רוזה,wine,bottle,750,40.0,145,both,SUP01,12,0,3
P041,Prosecco,פרוסקו,wine,bottle,750,45.0,160,both,SUP01,12,0,3
P042,Chardonnay,שרדונה,wine,bottle,750,55.0,180,both,SUP01,12,0,3
P043,Coca-Cola,קוקה קולה,soft_drink,bottle,500,3.0,14,both,SUP03,24,0,3
P044,Coca-Cola Zero,קולה זירו,soft_drink,bottle,500,3.0,14,both,SUP03,24,0,3
P045,Sprite,ספרייט,soft_drink,bottle,500,3.0,14,both,SUP03,24,0,3
P046,Tonic Water,טוניק,soft_drink,bottle,500,3.0,14,both,SUP03,24,0,3
P047,Soda Water,סודה,soft_drink,bottle,500,2.5,12,both,SUP03,24,0,3
P048,Red Bull,רדבול,soft_drink,can,330,5.5,20,both,SUP03,24,0,3
P049,Ginger Beer,ג'ינג'ר בير,soft_drink,bottle,500,4.0,16,both,SUP03,24,0,3
P050,Orange Juice,מיץ תפוזים,juice,liter,1000,8.0,0,both,SUP03,6,0,2
P051,Cranberry Juice,מיץ חמוציות,juice,liter,1000,9.0,0,both,SUP03,6,0,2
P052,Lime Juice,מיץ ליים,juice,liter,1000,10.0,0,both,SUP03,6,0,2
P053,Lemon Juice,מיץ לימון,juice,liter,1000,9.0,0,both,SUP03,6,0,2
P054,Sugar Syrup,סירופ סוכר,cocktail_ingredient,liter,1000,6.0,0,both,SUP03,6,0,2
P055,Fresh Mint,נענע,cocktail_ingredient,bunch,,4.0,0,both,SUP03,6,0,2
P056,Coffee Beans,פולי קפה,cocktail_ingredient,kg,,90.0,0,inside,SUP03,6,0,2
K001,Carlsberg 50L,קרלסברג 50 ליטר,draught_beer,keg,50000,700.0,32,inside,SUP02,1,1,2
K002,Tuborg 50L,טובורג 50 ליטר,draught_beer,keg,50000,690.0,32,inside,SUP02,1,1,2
K003,Carlsberg 30L,קרלסברג 30 ליטר,draught_beer,keg,30000,450.0,32,outside,SUP02,1,1,2
K004,Malka 30L,מלכה 30 ליטר,draught_beer,keg,30000,480.0,32,outside,SUP02,1,1,2
K005,Weihenstephan 30L,ווינשטפן 30 ליטר,draught_beer,keg,30000,560.0,32,outside,SUP02,1,1,2
